"SpaceID","EventTime_UTC","OccupancyState"
"61464","2026 May 12 12:12:55 PM","OCCUPIED"
"SV337","2026 May 12 12:12:45 PM","VACANT"
"CB1173","2026 May 12 12:12:11 PM","VACANT"
"WP65","2026 May 12 12:10:50 PM","VACANT"
"HO392","2026 May 12 12:10:37 PM","VACANT"
"WP105","2026 May 12 12:10:32 PM","VACANT"
"WP93","2026 May 12 12:10:25 PM","OCCUPIED"
"WP66","2026 May 12 12:10:20 PM","OCCUPIED"
"SV547","2026 May 12 12:09:38 PM","OCCUPIED"
"HO256","2026 May 12 12:09:32 PM","VACANT"
"HO245","2026 May 12 12:09:27 PM","OCCUPIED"
"HO130","2026 May 12 12:09:26 PM","VACANT"
"SV749","2026 May 12 12:08:38 PM","VACANT"
"66114","2026 May 12 12:08:37 PM","VACANT"
"HO353","2026 May 12 12:08:32 PM","VACANT"
"HO78","2026 May 12 12:08:30 PM","OCCUPIED"
"SV574A","2026 May 12 12:08:09 PM","VACANT"
"HO916","2026 May 12 12:07:46 PM","OCCUPIED"
"WP137","2026 May 12 12:05:49 PM","OCCUPIED"
"66599","2026 May 12 12:05:49 PM","OCCUPIED"
"SV285","2026 May 12 12:04:45 PM","OCCUPIED"
"SV73","2026 May 12 12:04:41 PM","VACANT"
"SV513","2026 May 12 12:04:04 PM","VACANT"
"66607","2026 May 12 12:03:20 PM","OCCUPIED"
"HO260","2026 May 12 12:03:17 PM","VACANT"
"SV304","2026 May 12 12:03:05 PM","VACANT"
"SV456","2026 May 12 12:02:50 PM","OCCUPIED"
"HO191","2026 May 12 12:02:45 PM","OCCUPIED"
"66596","2026 May 12 12:02:30 PM","VACANT"
"82717","2026 May 12 12:02:24 PM","VACANT"
"82718","2026 May 12 12:01:42 PM","VACANT"
"SV291","2026 May 12 12:01:27 PM","VACANT"
"SV286","2026 May 12 12:01:08 PM","OCCUPIED"
"66342","2026 May 12 12:00:55 PM","OCCUPIED"
"SV727","2026 May 12 12:00:49 PM","OCCUPIED"
"HO664","2026 May 12 12:00:22 PM","VACANT"
"WP76","2026 May 12 12:00:03 PM","OCCUPIED"
"66296","2026 May 12 11:59:54 AM","VACANT"
"SV577","2026 May 12 11:59:40 AM","VACANT"
"SV726","2026 May 12 11:59:30 AM","OCCUPIED"
"SV102","2026 May 12 11:59:25 AM","VACANT"
"WP73","2026 May 12 11:59:09 AM","VACANT"
"WP150","2026 May 12 11:58:41 AM","VACANT"
"82716","2026 May 12 11:58:41 AM","VACANT"
"SV619","2026 May 12 11:58:41 AM","OCCUPIED"
"82715","2026 May 12 11:58:36 AM","VACANT"
"SV287","2026 May 12 11:57:53 AM","VACANT"
"SV192","2026 May 12 11:57:03 AM","VACANT"
"SV201","2026 May 12 11:56:56 AM","VACANT"
"WP148","2026 May 12 11:55:58 AM","VACANT"
"SV395B","2026 May 12 11:55:20 AM","VACANT"
"66605","2026 May 12 11:55:10 AM","VACANT"
"SV129","2026 May 12 11:55:09 AM","VACANT"
"WP75","2026 May 12 11:54:44 AM","OCCUPIED"
"SV199","2026 May 12 11:54:19 AM","VACANT"
"SP494","2026 May 12 11:54:02 AM","OCCUPIED"
"HO198","2026 May 12 11:53:59 AM","OCCUPIED"
"SV46A","2026 May 12 11:53:56 AM","OCCUPIED"
"SV46","2026 May 12 11:53:48 AM","VACANT"
"66595","2026 May 12 11:53:46 AM","VACANT"
"WP94","2026 May 12 11:53:33 AM","VACANT"
"WP129","2026 May 12 11:53:01 AM","VACANT"
"HO275A","2026 May 12 11:52:25 AM","VACANT"
"SV291A","2026 May 12 11:51:47 AM","OCCUPIED"
"HO449","2026 May 12 11:50:36 AM","VACANT"
"66421","2026 May 12 11:50:21 AM","VACANT"
"SP362","2026 May 12 11:50:18 AM","OCCUPIED"
