variant,sample_index,target_bus,tod_band,severity,round,used_correction,faithfulness_f1,cause_precision,cause_recall,hallucination_rate,n_cited_causes,n_missed,advisory_error
unmodified,1912,4,am_rush,mild,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
unmodified,481,10,am_rush,moderate,0,False,1.0,1.0,1.0,0.0,3,0,
unmodified,1022,14,am_rush,severe,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,909,14,evening,moderate,0,False,1.0,1.0,1.0,0.0,2,0,
unmodified,1987,10,midday,mild,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,215,14,midday,moderate,0,False,0.75,0.75,0.75,0.25,4,1,
unmodified,494,3,midday,severe,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,680,10,night,mild,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,1017,14,night,moderate,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,676,10,night,severe,0,False,1.0,1.0,1.0,0.0,2,0,
unmodified,1170,14,pm_rush,mild,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,1138,10,pm_rush,moderate,0,False,1.0,1.0,1.0,0.0,2,0,
unmodified,1150,9,pm_rush,severe,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,167,3,am_rush,mild,0,False,0.4,1.0,0.25,0.0,1,3,
unmodified,167,3,am_rush,mild,1,True,1.0,1.0,1.0,0.0,4,0,
unmodified,1019,14,am_rush,moderate,0,False,0.6666666666666666,1.0,0.5,0.0,2,2,
unmodified,1019,14,am_rush,moderate,1,True,1.0,1.0,1.0,0.0,4,0,
unmodified,448,13,am_rush,severe,0,False,1.0,1.0,1.0,0.0,3,0,
unmodified,911,14,evening,moderate,0,False,0.6666666666666666,1.0,0.5,0.0,2,2,
unmodified,911,14,evening,moderate,1,True,1.0,1.0,1.0,0.0,4,0,
unmodified,1969,13,midday,moderate,0,False,1.0,1.0,1.0,0.0,2,0,
unmodified,207,13,midday,severe,0,False,1.0,1.0,1.0,0.0,4,0,
unmodified,678,10,night,mild,0,False,0.5,0.5,0.5,0.5,2,2,
unmodified,678,10,night,mild,1,True,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,1912,4,am_rush,mild,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,481,10,am_rush,moderate,0,False,1.0,1.0,1.0,0.0,4,0,
domain_routed,1022,14,am_rush,severe,0,False,1.0,1.0,1.0,0.0,4,0,
domain_routed,909,14,evening,moderate,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,1987,10,midday,mild,0,False,1.0,1.0,1.0,0.0,3,0,
domain_routed,215,14,midday,moderate,0,False,0.75,0.75,0.75,0.25,4,1,
domain_routed,494,3,midday,severe,0,False,0.8571428571428571,1.0,0.75,0.0,2,1,
domain_routed,680,10,night,mild,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,1017,14,night,moderate,0,False,1.0,1.0,1.0,0.0,4,0,
domain_routed,676,10,night,severe,0,False,1.0,1.0,1.0,0.0,2,0,
domain_routed,1170,14,pm_rush,mild,0,False,1.0,1.0,1.0,0.0,4,0,
domain_routed,1138,10,pm_rush,moderate,0,False,1.0,1.0,1.0,0.0,2,0,
domain_routed,1150,9,pm_rush,severe,0,False,1.0,1.0,1.0,0.0,4,0,
domain_routed,167,3,am_rush,mild,0,False,0.6666666666666666,1.0,0.5,0.0,2,2,
domain_routed,167,3,am_rush,mild,1,True,1.0,1.0,1.0,0.0,4,0,
domain_routed,1019,14,am_rush,moderate,0,False,0.6666666666666666,1.0,0.5,0.0,2,2,
domain_routed,1019,14,am_rush,moderate,1,True,1.0,1.0,1.0,0.0,4,0,
domain_routed,448,13,am_rush,severe,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,911,14,evening,moderate,0,False,1.0,1.0,1.0,0.0,2,0,
domain_routed,1969,13,midday,moderate,0,False,0.8571428571428571,1.0,0.75,0.0,3,1,
domain_routed,207,13,midday,severe,0,False,1.0,1.0,1.0,0.0,2,0,
domain_routed,678,10,night,mild,0,False,0.75,0.75,0.75,0.25,4,1,
