sample_index,target_node,tod_band,congestion,predicted_speed,predicted_speed_after,flip_achieved,reason,n_critical,n_levers,n_nodes_changed,perturbation_budget,implied_lead_minutes,narrated,faithfulness_f1,cause_precision,cause_recall,hallucination_rate
3506,16,am_rush,low,32.98,35.99,True,flip,8,1,1,6.0,0.0,True,1.0,1.0,1.0,0.0
1770,16,am_rush,low,34.23,35.76,True,flip,8,2,1,4.0,0.0,True,1.0,1.0,1.0,0.0
5536,12,am_rush,low,19.39,28.18,False,infeasible_within_budget,8,1,0,0.0,25.0,False,,,,
3515,16,am_rush,low,32.29,35.4,True,flip,8,1,1,8.0,20.0,True,1.0,1.0,1.0,0.0
5532,16,am_rush,low,31.88,35.35,True,flip,8,1,1,8.0,10.0,True,1.0,1.0,1.0,0.0
5257,12,am_rush,medium,18.68,23.86,False,infeasible_within_budget,8,1,0,0.0,15.0,False,,,,
2917,77,am_rush,medium,8.76,17.55,False,infeasible_within_budget,8,2,0,0.0,25.0,False,,,,
5246,12,am_rush,medium,20.5,27.4,False,infeasible_within_budget,8,1,0,0.0,45.0,False,,,,
1194,56,am_rush,medium,12.46,12.46,False,no_congested_causes,8,0,0,0.0,30.0,False,,,,
3212,84,am_rush,medium,12.59,14.46,False,infeasible_within_budget,8,4,0,0.0,55.0,False,,,,
6660,77,am_rush,medium,7.98,17.16,False,infeasible_within_budget,8,5,0,0.0,0.0,False,,,,
6092,9,am_rush,high,8.51,21.37,False,infeasible_within_budget,8,1,0,0.0,35.0,False,,,,
2649,29,am_rush,high,20.43,30.47,False,infeasible_within_budget,8,1,0,0.0,20.0,False,,,,
4367,29,am_rush,high,3.48,14.07,False,infeasible_within_budget,8,3,0,0.0,5.0,False,,,,
1225,9,am_rush,high,23.79,35.51,True,flip,8,1,1,12.0,15.0,True,1.0,1.0,1.0,0.0
6119,9,am_rush,high,24.31,37.53,True,flip,8,2,1,8.0,0.0,True,1.0,1.0,1.0,0.0
5866,12,midday,low,17.64,22.67,False,infeasible_within_budget,8,2,0,0.0,0.0,False,,,,
5849,197,midday,low,27.37,36.26,True,flip,8,1,1,16.0,25.0,True,1.0,1.0,1.0,0.0
5861,91,midday,low,24.37,35.31,True,flip,8,6,1,18.0,25.0,True,1.0,1.0,1.0,0.0
1836,91,midday,low,19.62,32.17,False,infeasible_within_budget,8,2,0,0.0,25.0,False,,,,
