city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk,cited_locations,resolution_methods,resolved_set_sizes
pems_bay,mistral:7b,8139,45,night,low,A,,1.0,0.375,0.5454545454545454,0.0,0.5555555555555556,3,8,,,
pems_bay,mistral:7b,8139,45,night,low,B,,1.0,0.375,0.5454545454545454,0.0,0.6666666666666666,1,8,,,
pems_bay,mistral:7b,4692,152,night,low,A,,1.0,0.25,0.4,0.0,0.6666666666666666,2,8,,,
pems_bay,mistral:7b,4692,152,night,low,B,,1.0,0.25,0.4,0.0,0.4,1,8,,,
pems_bay,mistral:7b,3590,21,night,low,A,,1.0,1.0,1.0,0.0,0.875,8,8,,,
pems_bay,mistral:7b,3590,21,night,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,8485,134,night,low,A,,1.0,0.625,0.7692307692307693,0.0,0.42857142857142855,2,8,,,
pems_bay,mistral:7b,8485,134,night,low,B,,0.5,0.375,0.42857142857142855,0.5,0.25,2,8,,,
pems_bay,mistral:7b,6452,134,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.5,5,8,,,
pems_bay,mistral:7b,6452,134,night,low,B,,1.0,0.125,0.2222222222222222,0.0,0.25,1,8,,,
pems_bay,mistral:7b,2131,152,night,low,A,,1.0,0.625,0.7692307692307693,0.0,0.23076923076923078,2,8,,,
pems_bay,mistral:7b,2131,152,night,low,B,,0.0,0.0,0.0,1.0,0.25,1,8,,,
pems_bay,mistral:7b,1520,134,night,low,A,,1.0,0.25,0.4,0.0,0.5,2,8,,,
pems_bay,mistral:7b,1520,134,night,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,7295,45,night,medium,A,,1.0,0.25,0.4,0.0,0.14285714285714285,2,8,,,
pems_bay,mistral:7b,7295,45,night,medium,B,,1.0,0.25,0.4,0.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,2123,275,night,medium,A,,1.0,0.25,0.4,0.0,0.25,2,8,,,
pems_bay,mistral:7b,2123,275,night,medium,B,,1.0,0.375,0.5454545454545454,0.0,0.4,1,8,,,
pems_bay,mistral:7b,9298,115,night,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.0,5,8,,,
pems_bay,mistral:7b,9298,115,night,medium,B,,1.0,0.125,0.2222222222222222,0.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,1866,90,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,2,8,,,
pems_bay,mistral:7b,1866,90,night,medium,B,,1.0,0.125,0.2222222222222222,0.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,7915,134,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.0,3,8,,,
pems_bay,mistral:7b,7915,134,night,medium,B,,1.0,0.25,0.4,0.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,1553,133,night,medium,A,advisory failed validation after 3 attempts: recommendations[2].location: expected string,0.0,0.0,0.0,1.0,,0,8,,,
pems_bay,mistral:7b,1553,133,night,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,7590,283,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8,,,
pems_bay,mistral:7b,7590,283,night,medium,B,,1.0,0.25,0.4,0.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,7345,90,night,high,A,,1.0,0.375,0.5454545454545454,0.0,0.0,3,8,,,
pems_bay,mistral:7b,7345,90,night,high,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,6779,133,am_rush,low,A,,1.0,0.625,0.7692307692307693,0.0,0.75,3,8,,,
pems_bay,mistral:7b,6779,133,am_rush,low,B,,0.0,0.0,0.0,1.0,0.6,1,8,,,
pems_bay,mistral:7b,1017,133,am_rush,low,A,,1.0,0.375,0.5454545454545454,0.0,0.375,2,8,,,
pems_bay,mistral:7b,1017,133,am_rush,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8,,,
pems_bay,mistral:7b,4770,133,am_rush,low,A,,1.0,0.625,0.7692307692307693,0.0,0.5,4,8,,,
pems_bay,mistral:7b,4770,133,am_rush,low,B,,1.0,0.125,0.2222222222222222,0.0,0.25,1,8,,,
