city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk,cited_locations,resolution_methods,resolved_set_sizes
chicago,llama3.1:8b,23,591,pm_rush,medium,A,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,23,591,pm_rush,medium,B,,0.0,0.0,0.0,1.0,,1,8,,,
chicago,llama3.1:8b,23,591,pm_rush,medium,C,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,27,847,pm_rush,medium,A,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,27,847,pm_rush,medium,B,,0.0,0.0,0.0,1.0,,1,8,,,
chicago,llama3.1:8b,27,847,pm_rush,medium,C,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,22,975,pm_rush,medium,A,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,22,975,pm_rush,medium,B,,0.0,0.0,0.0,1.0,,1,8,,,
chicago,llama3.1:8b,22,975,pm_rush,medium,C,,1.0,0.25,0.4,0.0,,2,8,,,
chicago,llama3.1:8b,23,591,pm_rush,medium,RANDOM_node,,0.005,0.00125,0.002,0.995,,2,8,[],[],[]
chicago,llama3.1:8b,27,847,pm_rush,medium,RANDOM_node,,0.01,0.0025,0.004,0.99,,2,8,[],[],[]
chicago,llama3.1:8b,22,975,pm_rush,medium,RANDOM_node,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
chicago,llama3.1:8b,23,591,pm_rush,medium,RANDOM_region,,0.2175,0.06,0.09277777777777768,0.7825,,2,8,[],[],[]
chicago,llama3.1:8b,27,847,pm_rush,medium,RANDOM_region,,0.1825,0.060625,0.08918181818181813,0.8175,,2,8,[],[],[]
chicago,llama3.1:8b,22,975,pm_rush,medium,RANDOM_region,,0.22,0.064375,0.09783838383838368,0.78,,2,8,[],[],[]
chicago,llama3.1:8b,23,591,pm_rush,medium,RANDOM_target_region,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
chicago,llama3.1:8b,27,847,pm_rush,medium,RANDOM_target_region,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
chicago,llama3.1:8b,22,975,pm_rush,medium,RANDOM_target_region,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
