city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
pems_bay,llama3.1:8b,8139,45,night,low,A,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,8139,45,night,low,B,,0.0,0.0,0.0,1.0,,1,8
pems_bay,llama3.1:8b,8139,45,night,low,C,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,4692,152,night,low,A,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,4692,152,night,low,B,,0.0,0.0,0.0,1.0,,1,8
pems_bay,llama3.1:8b,4692,152,night,low,C,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,3590,21,night,low,A,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,3590,21,night,low,B,,0.0,0.0,0.0,1.0,,1,8
pems_bay,llama3.1:8b,3590,21,night,low,C,,1.0,0.25,0.4,0.0,,2,8
pems_bay,llama3.1:8b,8139,45,night,low,RANDOM_node,,0.0375,0.009375,0.015000000000000003,0.9625,,2,8
pems_bay,llama3.1:8b,4692,152,night,low,RANDOM_node,,0.0325,0.008125,0.013000000000000001,0.9675,,2,8
pems_bay,llama3.1:8b,3590,21,night,low,RANDOM_node,,0.03,0.0075,0.012,0.97,,2,8
pems_bay,llama3.1:8b,8139,45,night,low,RANDOM_region,,0.395,0.15125,0.21418181818181836,0.605,,2,8
pems_bay,llama3.1:8b,4692,152,night,low,RANDOM_region,,0.5025,0.131875,0.2063333333333334,0.4975,,2,8
pems_bay,llama3.1:8b,3590,21,night,low,RANDOM_region,,0.4825,0.130625,0.20255555555555552,0.5175,,2,8
