sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
4289,16,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.25,3,8
4289,16,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
4289,16,night,low,C,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
5464,54,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.6666666666666666,3,8
5464,54,night,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
5464,54,night,low,C,,1.0,0.75,0.8571428571428571,0.0,0.6666666666666666,2,8
6643,51,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.2,1,8
6643,51,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
6643,51,night,low,C,,1.0,0.625,0.7692307692307693,0.0,0.75,2,8
1740,166,night,low,A,,1.0,0.625,0.7692307692307693,0.0,0.8333333333333334,2,8
1740,166,night,low,B,,1.0,0.25,0.4,0.0,0.3333333333333333,1,8
1740,166,night,low,C,,1.0,0.5,0.6666666666666666,0.0,0.4,2,8
5460,54,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.3333333333333333,1,8
5460,54,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
5460,54,night,low,C,,1.0,1.0,1.0,0.0,0.6666666666666666,2,8
6592,197,night,low,A,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
6592,197,night,low,B,,0.0,0.0,0.0,1.0,1.0,1,8
6592,197,night,low,C,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
