sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
4289,16,night,low,A,,1.0,0.625,0.7692307692307693,0.0,0.3333333333333333,2,8
4289,16,night,low,D_CONTRA,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
5464,54,night,low,A,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
5464,54,night,low,D_CONTRA,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
6643,51,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.5,1,8
6643,51,night,low,D_CONTRA,,1.0,0.625,0.7692307692307693,0.0,0.75,2,8
1740,166,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.6666666666666666,2,8
1740,166,night,low,D_CONTRA,,1.0,0.625,0.7692307692307693,0.0,1.0,4,8
5460,54,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.3333333333333333,1,8
5460,54,night,low,D_CONTRA,,1.0,1.0,1.0,0.0,0.6666666666666666,2,8
6592,197,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.25,3,8
6592,197,night,low,D_CONTRA,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
3145,125,night,low,A,,1.0,0.875,0.9333333333333333,0.0,0.5,3,8
3145,125,night,low,D_CONTRA,,1.0,0.75,0.8571428571428571,0.0,0.8,2,8
5479,16,night,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
5479,16,night,medium,D_CONTRA,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
6058,196,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,0.6,2,8
6058,196,night,medium,D_CONTRA,,1.0,0.375,0.5454545454545454,0.0,1.0,2,8
6335,105,night,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.25,3,8
6335,105,night,medium,D_CONTRA,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
6615,197,night,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
6615,197,night,medium,D_CONTRA,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
6316,77,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.75,3,8
6316,77,night,medium,D_CONTRA,,1.0,0.5,0.6666666666666666,0.0,0.75,3,8
1154,197,night,medium,A,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
1154,197,night,medium,D_CONTRA,,1.0,0.625,0.7692307692307693,0.0,0.5,2,8
3163,51,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.25,2,8
3163,51,night,medium,D_CONTRA,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
3506,16,am_rush,low,A,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
3506,16,am_rush,low,D_CONTRA,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
3532,56,am_rush,low,A,,1.0,0.875,0.9333333333333333,0.0,0.8333333333333334,3,8
