sample_index,target_bus,tod_band,severity,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,n_cited_causes,n_topk
1912,4,am_rush,mild,A,,0.5,0.25,0.3333333333333333,0.5,2,4
1912,4,am_rush,mild,B,,0.0,0.0,0.0,1.0,1,4
481,10,am_rush,moderate,A,,1.0,1.0,1.0,0.0,4,4
481,10,am_rush,moderate,B,,0.0,0.0,0.0,1.0,2,4
1022,14,am_rush,severe,A,,1.0,1.0,1.0,0.0,4,4
1022,14,am_rush,severe,B,,0.0,0.0,0.0,1.0,2,4
909,14,evening,moderate,A,,1.0,1.0,1.0,0.0,2,4
909,14,evening,moderate,B,,0.0,0.0,0.0,1.0,2,4
1987,10,midday,mild,A,,1.0,1.0,1.0,0.0,3,4
1987,10,midday,mild,B,,0.0,0.0,0.0,1.0,2,4
215,14,midday,moderate,A,,1.0,0.5,0.6666666666666666,0.0,2,4
215,14,midday,moderate,B,,0.0,0.0,0.0,1.0,2,4
494,3,midday,severe,A,,1.0,0.75,0.8571428571428571,0.0,3,4
494,3,midday,severe,B,,0.0,0.0,0.0,1.0,2,4
680,10,night,mild,A,,1.0,0.75,0.8571428571428571,0.0,3,4
680,10,night,mild,B,,0.0,0.0,0.0,1.0,2,4
1017,14,night,moderate,A,,1.0,1.0,1.0,0.0,4,4
1017,14,night,moderate,B,,0.0,0.0,0.0,1.0,2,4
676,10,night,severe,A,,1.0,1.0,1.0,0.0,4,4
676,10,night,severe,B,,0.0,0.0,0.0,1.0,2,4
1170,14,pm_rush,mild,A,,1.0,1.0,1.0,0.0,4,4
1170,14,pm_rush,mild,B,,0.0,0.0,0.0,1.0,2,4
1138,10,pm_rush,moderate,A,,1.0,1.0,1.0,0.0,4,4
1138,10,pm_rush,moderate,B,,0.0,0.0,0.0,1.0,2,4
1150,9,pm_rush,severe,A,,1.0,1.0,1.0,0.0,4,4
1150,9,pm_rush,severe,B,,0.0,0.0,0.0,1.0,2,4
167,3,am_rush,mild,A,,1.0,0.5,0.6666666666666666,0.0,2,4
167,3,am_rush,mild,B,,0.0,0.0,0.0,1.0,1,4
1019,14,am_rush,moderate,A,,1.0,0.5,0.6666666666666666,0.0,2,4
1019,14,am_rush,moderate,B,,0.0,0.0,0.0,1.0,2,4
448,13,am_rush,severe,A,,0.5,0.25,0.3333333333333333,0.5,2,4
448,13,am_rush,severe,B,,0.0,0.0,0.0,1.0,2,4
911,14,evening,moderate,A,,1.0,1.0,1.0,0.0,2,4
911,14,evening,moderate,B,,0.0,0.0,0.0,1.0,2,4
1969,13,midday,moderate,A,,1.0,1.0,1.0,0.0,4,4
1969,13,midday,moderate,B,,0.0,0.0,0.0,1.0,2,4
207,13,midday,severe,A,,1.0,1.0,1.0,0.0,4,4
207,13,midday,severe,B,,0.0,0.0,0.0,1.0,2,4
678,10,night,mild,A,,1.0,1.0,1.0,0.0,2,4
