regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
free_flow,180,0,717510,773869,0.624164,False,7,7,,False,18625.2,34.17128,-118.51976,34.15497,-118.31829
free_flow,105,1,718076,767541,0.529944,False,2,2,7212.2,True,5374.6,34.16339,-118.2253,34.11621,-118.23799
free_flow,105,0,718076,773869,0.528556,False,4,4,,False,8607.2,34.16339,-118.2253,34.15497,-118.31829
free_flow,150,0,717508,773869,0.516184,False,6,6,,False,18475.2,34.17112,-118.51814,34.15497,-118.31829
free_flow,148,2,717504,767542,0.494467,False,9,>8,,False,23949.6,34.16519,-118.49166,34.11641,-118.23819
free_flow,201,2,717590,767542,0.479389,False,3,3,6985.2,True,3702.8,34.14929,-118.23182,34.11641,-118.23819
free_flow,13,2,773906,767542,0.477953,False,4,4,,False,7428.2,34.1566,-118.30266,34.11641,-118.23819
free_flow,78,2,718064,767542,0.470502,False,2,2,4789.1,True,726.4,34.11296,-118.24489,34.11641,-118.23819
free_flow,111,2,773916,767542,0.47049,False,3,3,8767.0,True,5899.0,34.15247,-118.2852,34.11641,-118.23819
free_flow,180,1,717510,767541,0.469991,False,11,>8,,False,26644.1,34.17128,-118.51976,34.11621,-118.23799
free_flow,181,0,717513,773869,0.448624,False,-1,unreachable,,False,20208.3,34.17339,-118.5368,34.15497,-118.31829
free_flow,166,0,772669,773869,0.426204,False,5,5,,False,11886.4,34.07828,-118.22834,34.15497,-118.31829
free_flow,89,0,767351,773869,0.404684,False,6,6,,False,14257.1,34.18022,-118.47022,34.15497,-118.31829
free_flow,111,1,773916,767541,0.376693,False,3,3,7415.6,True,5927.6,34.15247,-118.2852,34.11621,-118.23799
free_flow,150,1,717508,767541,0.368024,False,10,>8,,False,26494.9,34.17112,-118.51814,34.11621,-118.23799
free_flow,195,1,717456,767541,0.366493,False,5,5,8483.9,True,6418.8,34.08102,-118.29325,34.11621,-118.23799
free_flow,13,1,773906,767541,0.359723,False,4,4,,False,7456.3,34.1566,-118.30266,34.11621,-118.23799
free_flow,42,1,773927,767541,0.351383,False,3,3,6957.3,True,5620.0,34.15262,-118.28034,34.11621,-118.23799
