target,sensor_id,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
0,773869,11.213,1118,3,70.0,0.0,61.53
1,767541,6.27,381,3,70.0,0.0,64.5
2,767542,6.27,381,3,70.0,0.0,64.79
3,717447,6.343,381,3,70.0,0.0,52.88
4,717446,7.187,381,3,70.0,0.0,49.65
5,717445,6.37,381,3,70.0,0.0,54.42
6,773062,6.349,381,3,70.0,0.0,58.16
7,767620,9.503,402,3,70.0,0.0,63.27
8,737529,7.831,381,3,70.0,0.0,60.83
9,717816,6.749,381,5,70.0,0.0,56.7
10,765604,7.02,381,3,70.0,0.0,60.34
11,767471,11.89,402,5,70.0,0.0,63.12
12,716339,6.44,381,5,70.0,0.0,40.38
13,773906,7.729,381,3,70.0,0.0,64.11
14,765273,6.375,381,3,70.0,0.0,55.71
15,716331,6.513,381,3,70.0,0.0,49.72
16,771667,8.365,381,3,70.0,0.0,30.89
17,716337,6.338,381,3,70.0,0.0,56.82
18,769953,6.618,381,3,70.0,0.0,55.93
19,769402,6.58,381,3,68.7,0.0,58.43
20,769403,6.682,381,4,70.0,0.0,64.38
21,769819,6.626,381,3,70.0,0.0,60.39
22,769405,15.599,422,3,70.0,0.0,47.91
23,716941,8.287,381,3,70.0,0.0,54.29
24,717578,6.478,381,5,70.0,0.0,63.85
25,716960,8.899,381,3,70.0,0.0,56.61
26,717804,10.872,1134,66,70.0,0.0,53.2
27,767572,6.594,381,4,69.0,0.0,61.58
28,767573,6.586,381,3,70.0,0.0,66.16
29,773012,6.559,381,4,70.0,0.0,44.06
30,773013,8.342,381,6,70.0,0.0,59.03
31,764424,9.171,381,3,70.0,0.0,65.85
32,769388,8.911,472,3,70.0,0.0,63.85
33,716328,6.603,381,4,70.0,0.0,58.84
34,717819,6.373,381,4,70.0,0.0,63.1
35,769941,6.618,381,3,70.0,0.0,61.03
36,760987,16.141,1014,4,70.0,0.0,65.13
37,718204,13.501,1118,9,70.0,0.0,62.69
38,718045,9.991,857,3,70.0,0.0,48.97
39,769418,15.607,422,3,70.0,0.0,57.39
40,768066,6.731,381,3,70.0,0.0,61.51
41,772140,9.034,381,3,70.0,0.0,57.35
42,773927,9.349,578,10,70.0,0.0,60.14
