regime,method,n_effective,n_reference,n_true_positive,precision,recall,jaccard,n_off_adjacency,targets_with_fewer_than_k_road_sources
congested,effective_top_k,272,296,38,0.13970588235294118,0.12837837837837837,0.07169811320754717,234,
congested,effective_cumulative_mass,4986,296,248,0.04973926995587646,0.8378378378378378,0.04926499801350814,4738,
congested,uniform_random,272,296,10,0.03676470588235294,0.033783783783783786,0.017921146953405017,262,
congested,degree_matched_random,272,296,15,0.05514705882352941,0.05067567567567568,0.027124773960216998,257,
congested,nearest_by_road_distance,272,296,220,0.8088235294117647,0.7432432432432432,0.632183908045977,52,0.0
free_flow,effective_top_k,1600,1453,458,0.28625,0.3152099105299381,0.1764932562620424,1142,
free_flow,effective_cumulative_mass,30805,1453,1340,0.04349943191040415,0.9222298692360633,0.04334044892942623,29465,
free_flow,uniform_random,1600,1453,53,0.033125,0.0364762560220234,0.017666666666666667,1547,
free_flow,degree_matched_random,1600,1453,55,0.034375,0.03785271851342051,0.018345563709139426,1545,
free_flow,nearest_by_road_distance,1592,1453,1203,0.7556532663316583,0.8279421885753613,0.6530944625407166,389,1.0
