regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
congested,44,100,774012,772151,0.808784,False,10,>8,,False,27465.0,34.14769,-118.20137,34.16928,-118.49872
congested,124,9,716942,717816,0.795815,False,10,>8,,False,25728.7,34.0593,-118.21451,34.15562,-118.4686
congested,66,84,767610,767053,0.786358,False,11,>8,,False,23063.5,34.18555,-118.21766,34.17091,-118.46775
congested,105,88,718076,767350,0.786027,False,10,>8,,False,22629.8,34.16339,-118.2253,34.18011,-118.47045
congested,30,9,773013,717816,0.780536,False,11,>8,,False,24174.4,34.08374,-118.22076,34.15562,-118.4686
congested,123,77,767523,765171,0.779895,False,10,>8,,False,21710.1,34.11439,-118.24209,34.16789,-118.46896
congested,107,84,767455,767053,0.778478,False,10,>8,,False,22357.8,34.14347,-118.22704,34.17091,-118.46775
congested,30,88,773013,767350,0.776724,False,12,>8,,False,25357.3,34.08374,-118.22076,34.18011,-118.47045
congested,132,77,762329,765171,0.776343,False,10,>8,,False,22347.0,34.13904,-118.22862,34.16789,-118.46896
congested,203,84,717595,767053,0.773546,False,-1,unreachable,,False,26411.9,34.14163,-118.1829,34.17091,-118.46775
congested,183,84,767495,767053,0.772454,False,12,>8,,False,21393.0,34.10377,-118.24992,34.17091,-118.46775
congested,26,9,717804,717816,0.772314,False,-1,unreachable,,False,6799.8,34.09478,-118.47605,34.15562,-118.4686
congested,44,88,774012,767350,0.766552,False,10,>8,,False,25018.2,34.14769,-118.20137,34.18011,-118.47045
congested,106,100,718072,772151,0.766196,False,11,>8,,False,25221.0,34.1491,-118.2257,34.16928,-118.49872
congested,183,77,767495,765171,0.759912,False,11,>8,,False,21383.4,34.10377,-118.24992,34.16789,-118.46896
congested,44,77,774012,765171,0.75547,False,9,>8,,False,24724.0,34.14769,-118.20137,34.16789,-118.46896
congested,121,88,769847,767350,0.755179,False,13,>8,,False,22950.9,34.20983,-118.22351,34.18011,-118.47045
congested,14,38,765273,718045,0.754954,False,11,>8,,False,25526.5,34.18949,-118.47437,34.06712,-118.23973
congested,107,77,767455,765171,0.754738,False,9,>8,,False,22425.4,34.14347,-118.22704,34.16789,-118.46896
congested,33,88,716328,767350,0.754093,False,10,>8,,False,23585.7,34.06664,-118.25397,34.18011,-118.47045
congested,66,100,767610,772151,0.752926,False,11,>8,,False,25918.4,34.18555,-118.21766,34.16928,-118.49872
congested,50,52,769831,717495,0.751301,False,10,>8,,False,20300.1,34.20663,-118.20101,34.15664,-118.41326
congested,203,100,717595,772151,0.735149,False,-1,unreachable,,False,29222.6,34.14163,-118.1829,34.16928,-118.49872
congested,169,100,717580,772151,0.734883,False,9,>8,,False,21682.6,34.1562,-118.26359,34.16928,-118.49872
congested,30,52,773013,717495,0.733866,False,9,>8,,False,19486.5,34.08374,-118.22076,34.15664,-118.41326
congested,50,47,769831,769359,0.730103,False,10,>8,,False,21089.9,34.20663,-118.20101,34.1566,-118.42216
congested,121,148,769847,717504,0.720386,False,12,>8,,False,25159.2,34.20983,-118.22351,34.16519,-118.49166
congested,21,52,769819,717495,0.711359,False,10,>8,,False,20540.4,34.20584,-118.19803,34.15664,-118.41326
congested,89,16,767351,771667,0.706234,False,10,>8,,False,24799.7,34.18022,-118.47022,34.07314,-118.23388
congested,149,196,763995,771673,0.697431,False,9,>8,,False,22918.0,34.21979,-118.40931,34.07787,-118.22871
congested,50,148,769831,717504,0.694472,False,12,>8,,False,27128.9,34.20663,-118.20101,34.16519,-118.49166
congested,89,196,767351,771673,0.693679,False,10,>8,,False,24973.6,34.18022,-118.47022,34.07787,-118.22871
congested,104,16,717818,771667,0.692758,False,10,>8,,False,24164.3,34.1722,-118.46753,34.07314,-118.23388
congested,34,16,717819,771667,0.690678,False,11,>8,,False,25522.9,34.18784,-118.47407,34.07314,-118.23388
congested,169,148,717580,717504,0.687057,False,9,>8,,False,21008.5,34.1562,-118.26359,34.16519,-118.49166
congested,89,56,767351,716955,0.684448,False,9,>8,,False,22816.2,34.18022,-118.47022,34.09579,-118.24427
congested,200,141,769806,769346,0.68435,False,9,>8,,False,20695.9,34.19638,-118.18442,34.15677,-118.40424
congested,104,196,717818,771673,0.679205,False,10,>8,,False,24357.3,34.1722,-118.46753,34.07787,-118.22871
congested,34,196,717819,771673,0.675685,False,11,>8,,False,25681.1,34.18784,-118.47407,34.07787,-118.22871
congested,196,76,771673,717499,0.672574,False,10,>8,,False,22013.1,34.07787,-118.22871,34.15666,-118.44808
congested,149,51,763995,761604,0.668181,False,10,>8,,False,13406.8,34.21979,-118.40931,34.15407,-118.28711
congested,138,76,772513,717499,0.654367,False,10,>8,,False,21786.7,34.06871,-118.23661,34.15666,-118.44808
congested,45,159,774011,717466,0.648812,False,-1,unreachable,,False,11603.5,34.14747,-118.20123,34.09359,-118.30918
congested,44,12,774012,716339,0.647202,False,9,>8,,False,11100.5,34.14769,-118.20137,34.07821,-118.28795
congested,149,29,763995,773012,0.627635,False,10,>8,,False,23000.7,34.21979,-118.40931,34.0839,-118.22086
congested,66,12,767610,716339,0.621695,False,9,>8,,False,13576.3,34.18555,-118.21766,34.07821,-118.28795
congested,104,91,717818,773023,0.586499,False,10,>8,,False,24237.3,34.1722,-118.46753,34.05773,-118.24348
congested,44,193,774012,717453,0.585055,False,9,>8,,False,10747.3,34.14769,-118.20137,34.07696,-118.28093
congested,45,155,774011,717468,0.572723,False,-1,unreachable,,False,11785.7,34.14747,-118.20123,34.09699,-118.31381
congested,82,51,769430,761604,0.56572,False,9,>8,,False,15600.5,34.15818,-118.45658,34.15407,-118.28711
congested,45,193,774011,717453,0.558577,False,-1,unreachable,,False,10738.2,34.14747,-118.20123,34.07696,-118.28093
congested,166,172,772669,772178,0.513626,False,10,>8,,False,26867.5,34.07828,-118.22834,34.16903,-118.49885
congested,138,172,772513,772178,0.494676,False,10,>8,,False,26593.3,34.06871,-118.23661,34.16903,-118.49885
congested,89,29,767351,773012,0.447059,False,12,>8,,False,25327.4,34.18022,-118.47022,34.0839,-118.22086
congested,105,197,718076,772167,0.444944,False,9,>8,,False,23421.1,34.16339,-118.2253,34.16526,-118.47985
congested,34,29,717819,773012,0.439504,False,13,>8,,False,26013.2,34.18784,-118.47407,34.0839,-118.22086
congested,31,29,764424,773012,0.430251,False,9,>8,,False,19164.9,34.17878,-118.39469,34.0839,-118.22086
congested,59,126,767366,769867,0.412244,False,12,>8,,False,21537.0,34.21216,-118.47341,34.21846,-118.23931
congested,44,197,774012,772167,0.406053,False,9,>8,,False,25698.6,34.14769,-118.20137,34.16526,-118.47985
congested,77,126,765171,769867,0.350185,False,11,>8,,False,21857.7,34.16789,-118.46896,34.21846,-118.23931
free_flow,90,105,716571,718076,0.600233,False,12,>8,,False,16878.4,34.2,-118.40337,34.16339,-118.2253
free_flow,67,105,773880,718076,0.582985,False,9,>8,,False,11378.2,34.15367,-118.3484,34.16339,-118.2253
free_flow,99,105,764120,718076,0.565192,False,14,>8,,False,16949.0,34.20164,-118.40366,34.16339,-118.2253
free_flow,106,90,718072,716571,0.493905,False,10,>8,,False,17296.9,34.1491,-118.2257,34.2,-118.40337
free_flow,105,90,718076,716571,0.486376,False,9,>8,,False,16878.4,34.16339,-118.2253,34.2,-118.40337
free_flow,66,90,767610,716571,0.484374,False,10,>8,,False,17156.1,34.18555,-118.21766,34.2,-118.40337
free_flow,66,44,767610,774012,0.468831,False,-1,unreachable,10826.6,True,4468.7,34.18555,-118.21766,34.14769,-118.20137
free_flow,106,44,718072,774012,0.462573,False,-1,unreachable,10092.9,True,2244.4,34.1491,-118.2257,34.14769,-118.20137
free_flow,45,77,774011,765171,0.456918,False,-1,unreachable,,False,24739.1,34.14747,-118.20123,34.16789,-118.46896
free_flow,105,44,718076,774012,0.447619,False,-1,unreachable,8261.9,True,2810.0,34.16339,-118.2253,34.14769,-118.20137
free_flow,28,90,767573,716571,0.432304,False,9,>8,,False,17848.2,34.12964,-118.22901,34.2,-118.40337
free_flow,64,90,767750,716571,0.417659,False,10,>8,,False,21664.7,34.09335,-118.20635,34.2,-118.40337
free_flow,149,170,763995,716949,0.410953,False,9,>8,,False,22379.1,34.21979,-118.40931,34.08406,-118.22974
free_flow,45,102,774011,717489,0.406663,False,-1,unreachable,,False,15045.8,34.14747,-118.20123,34.13876,-118.36438
free_flow,69,26,717497,717804,0.404881,False,-1,unreachable,,False,8925.9,34.15685,-118.41456,34.09478,-118.47605
free_flow,182,77,717825,765171,0.404338,False,-1,unreachable,9313.9,True,5988.7,34.22164,-118.47307,34.16789,-118.46896
free_flow,183,90,767495,716571,0.400037,False,11,>8,,False,17716.7,34.10377,-118.24992,34.2,-118.40337
free_flow,56,89,716955,767351,0.399934,False,10,>8,,False,22816.2,34.09579,-118.24427,34.18022,-118.47022
free_flow,107,90,767455,716571,0.394609,False,9,>8,,False,17397.3,34.14347,-118.22704,34.2,-118.40337
free_flow,81,26,769431,717804,0.390805,False,-1,unreachable,,False,7299.6,34.15843,-118.45664,34.09478,-118.47605
free_flow,166,149,772669,763995,0.386349,False,9,>8,,False,22911.4,34.07828,-118.22834,34.21979,-118.40931
free_flow,107,44,767455,774012,0.386238,False,-1,unreachable,,False,2408.5,34.14347,-118.22704,34.14769,-118.20137
free_flow,45,14,774011,765273,0.37502,False,-1,unreachable,,False,25560.0,34.14747,-118.20123,34.18949,-118.47437
free_flow,90,44,716571,774012,0.374482,False,-1,unreachable,,False,19472.2,34.2,-118.40337,34.14769,-118.20137
free_flow,166,26,772669,717804,0.37372,False,-1,unreachable,,False,22885.5,34.07828,-118.22834,34.09478,-118.47605
free_flow,67,44,773880,774012,0.37229,False,-1,unreachable,,False,13546.2,34.15367,-118.3484,34.14769,-118.20137
free_flow,28,44,767573,774012,0.368572,False,-1,unreachable,7705.9,True,3240.3,34.12964,-118.22901,34.14769,-118.20137
free_flow,92,118,767585,717570,0.366801,False,10,>8,,False,12489.5,34.16556,-118.22432,34.15302,-118.35921
free_flow,146,144,717502,764853,0.365033,False,9,>8,,False,23445.5,34.16521,-118.47484,34.06461,-118.25102
free_flow,149,26,763995,717804,0.363112,False,-1,unreachable,,False,15196.5,34.21979,-118.40931,34.09478,-118.47605
free_flow,63,26,769443,717804,0.361897,False,-1,unreachable,,False,7575.2,34.15574,-118.43931,34.09478,-118.47605
free_flow,13,44,773906,774012,0.361292,False,-1,unreachable,,False,9373.1,34.1566,-118.30266,34.14769,-118.20137
free_flow,134,77,716951,765171,0.359463,False,10,>8,,False,23659.3,34.08581,-118.23182,34.16789,-118.46896
free_flow,12,26,716339,717804,0.358331,False,-1,unreachable,,False,17420.0,34.07821,-118.28795,34.09478,-118.47605
free_flow,164,26,769345,717804,0.357644,False,-1,unreachable,,False,9521.6,34.15655,-118.40441,34.09478,-118.47605
free_flow,203,198,717595,769372,0.356383,False,-1,unreachable,,False,13107.2,34.14163,-118.1829,34.1027,-118.3173
free_flow,87,165,772597,716943,0.355994,False,11,>8,,False,29425.0,34.17109,-118.50495,34.05987,-118.21492
