source,target,source_sensor_id,target_sensor_id,hops,unreachable,learned_rank_of_206,learned_weight,road_distance_m,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
183,77,767495,765171,11.0,False,16,0.004930423106998205,,21383.4,34.10377,-118.24992,34.16789,-118.46896
183,84,767495,767053,12.0,False,33,0.00398050295189023,,21393.0,34.10377,-118.24992,34.17091,-118.46775
132,77,762329,765171,10.0,False,33,0.004267919342964888,,22347.0,34.13904,-118.22862,34.16789,-118.46896
203,84,717595,767053,,True,79,0.0034449335653334856,,26411.9,34.14163,-118.1829,34.17091,-118.46775
44,77,774012,765171,9.0,False,90,0.0031357656698673964,,24724.0,34.14769,-118.20137,34.16789,-118.46896
30,88,773013,767350,12.0,False,101,0.0031744334846735,,25357.3,34.08374,-118.22076,34.18011,-118.47045
66,84,767610,767053,11.0,False,110,0.0031795899849385023,,23063.5,34.18555,-118.21766,34.17091,-118.46775
105,88,718076,767350,10.0,False,155,0.0028019542805850506,,22629.8,34.16339,-118.2253,34.18011,-118.47045
89,196,767351,771673,10.0,False,185,0.001992859411984682,,24973.6,34.18022,-118.47022,34.07787,-118.22871
89,29,767351,773012,12.0,False,189,0.0018390066688880324,,25327.4,34.18022,-118.47022,34.0839,-118.22086
34,16,717819,771667,11.0,False,190,0.0017489821184426546,,25522.9,34.18784,-118.47407,34.07314,-118.23388
89,16,767351,771667,10.0,False,191,0.001746104215271771,,24799.7,34.18022,-118.47022,34.07314,-118.23388
104,16,717818,771667,10.0,False,196,0.0016361933667212725,,24164.3,34.1722,-118.46753,34.07314,-118.23388
149,196,763995,771673,9.0,False,203,0.0015509981894865632,,22918.0,34.21979,-118.40931,34.07787,-118.22871
149,29,763995,773012,10.0,False,206,0.001257503405213356,,23000.7,34.21979,-118.40931,34.0839,-118.22086
