source,target,source_sensor_id,target_sensor_id,hops,unreachable,learned_rank_of_206,learned_weight,road_distance_m,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
106,90,718072,716571,10.0,False,1,0.01667662523686886,,17296.9,34.1491,-118.2257,34.2,-118.40337
81,26,769431,717804,,True,2,0.01586437039077282,,7299.6,34.15843,-118.45664,34.09478,-118.47605
105,90,718076,716571,9.0,False,3,0.014095047488808632,,16878.4,34.16339,-118.2253,34.2,-118.40337
59,30,767366,773013,10.0,False,4,0.012826136313378811,,27284.8,34.21216,-118.47341,34.08374,-118.22076
66,90,767610,716571,10.0,False,4,0.013756910338997841,,17156.1,34.18555,-118.21766,34.2,-118.40337
90,105,716571,718076,12.0,False,4,0.016248302534222603,,16878.4,34.2,-118.40337,34.16339,-118.2253
66,44,767610,774012,,True,5,0.011597085744142532,10826.6,4468.7,34.18555,-118.21766,34.14769,-118.20137
106,44,718072,774012,,True,6,0.011487484909594059,10092.9,2244.4,34.1491,-118.2257,34.14769,-118.20137
166,149,772669,763995,9.0,False,9,0.01742671988904476,,22911.4,34.07828,-118.22834,34.21979,-118.40931
149,133,763995,716953,9.0,False,12,0.006775409448891878,,20702.9,34.21979,-118.40931,34.09458,-118.24279
28,90,767573,716571,9.0,False,12,0.011112058535218239,,17848.2,34.12964,-118.22901,34.2,-118.40337
69,26,717497,717804,,True,13,0.01202262844890356,,8925.9,34.15685,-118.41456,34.09478,-118.47605
96,182,717481,717825,9.0,False,15,0.0065428512170910835,,18490.2,34.10634,-118.32826,34.22164,-118.47307
45,70,774011,717490,,True,17,0.004721079487353563,,15645.1,34.14747,-118.20123,34.14745,-118.37124
45,24,774011,717578,,True,24,0.0068442062474787235,,6449.6,34.14747,-118.20123,34.15478,-118.27076
183,90,767495,716571,11.0,False,30,0.00934934988617897,,17716.7,34.10377,-118.24992,34.2,-118.40337
59,48,767366,760650,10.0,False,30,0.004577745217829943,,26902.2,34.21216,-118.47341,34.07505,-118.23256
166,158,772669,764794,9.0,False,32,0.009180224500596523,,23878.7,34.07828,-118.22834,34.16028,-118.46808
122,21,717608,769819,9.0,False,40,0.006458506919443607,,17895.5,34.17154,-118.38812,34.20584,-118.19803
122,121,717608,769847,9.0,False,42,0.007437435444444418,,15727.6,34.17154,-118.38812,34.20983,-118.22351
134,204,716951,772168,10.0,False,44,0.004837035201489925,,24486.8,34.08581,-118.23182,34.16542,-118.47985
134,172,716951,772178,10.0,False,46,0.0072905742563307285,,26263.3,34.08581,-118.23182,34.16903,-118.49885
45,77,774011,765171,,True,55,0.00368694425560534,,24739.1,34.14747,-118.20123,34.16789,-118.46896
134,41,716951,772140,10.0,False,57,0.004473768174648285,,24047.2,34.08581,-118.23182,34.16498,-118.47493
134,86,716951,772596,10.0,False,67,0.005852516740560532,,26875.9,34.08581,-118.23182,34.17126,-118.50495
166,180,772669,717510,11.0,False,77,0.005007452331483364,,28749.2,34.07828,-118.22834,34.17128,-118.51976
160,126,717461,769867,9.0,False,103,0.003576860297471285,,15853.1,34.08558,-118.30174,34.21846,-118.23931
66,70,767610,717490,9.0,False,106,0.004321903456002474,,14751.4,34.18555,-118.21766,34.14745,-118.37124
182,95,717825,718379,,True,106,0.0033771416638046503,,19988.4,34.22164,-118.47307,34.14224,-118.27812
134,181,716951,717513,11.0,False,112,0.004419542383402586,,29712.8,34.08581,-118.23182,34.17339,-118.5368
149,194,763995,759772,9.0,False,123,0.004755308385938406,,10981.9,34.21979,-118.40931,34.17115,-118.30539
105,186,718076,717823,10.0,False,133,0.005372600629925728,,23222.6,34.16339,-118.2253,34.20264,-118.47326
134,180,716951,717510,11.0,False,134,0.004391478840261698,,28155.9,34.08581,-118.23182,34.17128,-118.51976
146,144,717502,764853,9.0,False,134,0.002227526158094406,,23445.5,34.16521,-118.47484,34.06461,-118.25102
