regime,bucket,n_effective_edges,share_of_effective,n_adjacency_edges_same_bucket
congested,1,38,0.1397,296
congested,2,35,0.1287,0
congested,3,21,0.0772,0
congested,4,15,0.0551,0
congested,5,24,0.0882,0
congested,6,37,0.136,0
congested,7,28,0.1029,0
congested,8,14,0.0515,0
congested,>8,54,0.1985,0
congested,unreachable,6,0.0221,0
free_flow,1,458,0.2863,1453
free_flow,2,123,0.0769,0
free_flow,3,115,0.0719,0
free_flow,4,131,0.0819,0
free_flow,5,155,0.0969,0
free_flow,6,159,0.0994,0
free_flow,7,133,0.0831,0
free_flow,8,124,0.0775,0
free_flow,>8,145,0.0906,0
free_flow,unreachable,57,0.0356,0
