regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
congested,183,48,767495,760650,0.817757,False,5,5,6846.1,True,3571.3,34.10377,-118.24992,34.07505,-118.23256
congested,167,48,717582,760650,0.809192,False,4,4,,False,9421.3,34.15646,-118.26092,34.07505,-118.23256
congested,44,100,774012,772151,0.808784,False,10,>8,,False,27465.0,34.14769,-118.20137,34.16928,-118.49872
congested,57,9,764949,717816,0.808506,False,5,5,,False,11595.4,34.12881,-118.34684,34.15562,-118.4686
congested,108,48,767454,760650,0.80752,False,5,5,8964.9,True,7628.7,34.14352,-118.22733,34.07505,-118.23256
congested,122,9,717608,717816,0.801472,False,4,4,,False,7613.4,34.17154,-118.38812,34.15562,-118.4686
congested,124,9,716942,717816,0.795815,False,10,>8,,False,25728.7,34.0593,-118.21451,34.15562,-118.4686
congested,62,48,774067,760650,0.790771,False,5,5,,False,9955.5,34.15362,-118.28441,34.07505,-118.23256
congested,178,48,773975,760650,0.78978,False,5,5,,False,7925.7,34.14584,-118.22251,34.07505,-118.23256
congested,39,9,769418,717816,0.78782,False,5,5,,False,11855.2,34.12659,-118.34465,34.15562,-118.4686
congested,66,84,767610,767053,0.786358,False,11,>8,,False,23063.5,34.18555,-118.21766,34.17091,-118.46775
congested,105,88,718076,767350,0.786027,False,10,>8,,False,22629.8,34.16339,-118.2253,34.18011,-118.47045
congested,19,9,769402,717816,0.785813,False,6,6,,False,12525.6,34.12095,-118.33911,34.15562,-118.4686
congested,13,84,773906,767053,0.784312,False,7,7,,False,15272.5,34.1566,-118.30266,34.17091,-118.46775
congested,20,100,769403,772151,0.78391,False,7,7,,False,15634.4,34.12073,-118.33928,34.16928,-118.49872
congested,67,38,773880,718045,0.78354,False,6,6,,False,13882.1,34.15367,-118.3484,34.06712,-118.23973
congested,30,9,773013,717816,0.780536,False,11,>8,,False,24174.4,34.08374,-118.22076,34.15562,-118.4686
congested,123,77,767523,765171,0.779895,False,10,>8,,False,21710.1,34.11439,-118.24209,34.16789,-118.46896
congested,107,84,767455,767053,0.778478,False,10,>8,,False,22357.8,34.14347,-118.22704,34.17091,-118.46775
congested,30,88,773013,767350,0.776724,False,12,>8,,False,25357.3,34.08374,-118.22076,34.18011,-118.47045
congested,132,77,762329,765171,0.776343,False,10,>8,,False,22347.0,34.13904,-118.22862,34.16789,-118.46896
congested,203,84,717595,767053,0.773546,False,-1,unreachable,,False,26411.9,34.14163,-118.1829,34.17091,-118.46775
congested,44,48,774012,760650,0.772771,False,6,6,,False,8572.4,34.14769,-118.20137,34.07505,-118.23256
congested,67,100,773880,772151,0.772498,False,7,7,,False,13939.3,34.15367,-118.3484,34.16928,-118.49872
congested,183,84,767495,767053,0.772454,False,12,>8,,False,21393.0,34.10377,-118.24992,34.17091,-118.46775
congested,26,9,717804,717816,0.772314,False,-1,unreachable,,False,6799.8,34.09478,-118.47605,34.15562,-118.4686
congested,67,84,773880,767053,0.770403,False,7,7,,False,11147.3,34.15367,-118.3484,34.17091,-118.46775
congested,24,84,717578,767053,0.770288,False,8,8,,False,18213.1,34.15478,-118.27076,34.17091,-118.46775
congested,99,84,764120,767053,0.766906,False,8,8,,False,6813.9,34.20164,-118.40366,34.17091,-118.46775
congested,44,88,774012,767350,0.766552,False,10,>8,,False,25018.2,34.14769,-118.20137,34.18011,-118.47045
congested,106,100,718072,772151,0.766196,False,11,>8,,False,25221.0,34.1491,-118.2257,34.16928,-118.49872
congested,123,38,767523,718045,0.765514,False,6,6,7923.0,True,5260.7,34.11439,-118.24209,34.06712,-118.23973
congested,30,48,773013,760650,0.765303,False,2,2,5364.2,True,1454.2,34.08374,-118.22076,34.07505,-118.23256
congested,105,48,718076,760650,0.764077,False,5,5,,False,9845.7,34.16339,-118.2253,34.07505,-118.23256
congested,80,88,765164,767350,0.761472,False,8,8,,False,20125.9,34.07898,-118.28911,34.18011,-118.47045
congested,183,77,767495,765171,0.759912,False,11,>8,,False,21383.4,34.10377,-118.24992,34.16789,-118.46896
congested,67,88,773880,767350,0.758097,False,7,7,,False,11607.5,34.15367,-118.3484,34.18011,-118.47045
congested,31,100,764424,772151,0.756395,False,6,6,,False,9628.4,34.17878,-118.39469,34.16928,-118.49872
congested,44,77,774012,765171,0.75547,False,9,>8,,False,24724.0,34.14769,-118.20137,34.16789,-118.46896
congested,121,88,769847,767350,0.755179,False,13,>8,,False,22950.9,34.20983,-118.22351,34.18011,-118.47045
congested,14,38,765273,718045,0.754954,False,11,>8,,False,25526.5,34.18949,-118.47437,34.06712,-118.23973
congested,107,77,767455,765171,0.754738,False,9,>8,,False,22425.4,34.14347,-118.22704,34.16789,-118.46896
congested,33,88,716328,767350,0.754093,False,10,>8,,False,23585.7,34.06664,-118.25397,34.18011,-118.47045
congested,66,100,767610,772151,0.752926,False,11,>8,,False,25918.4,34.18555,-118.21766,34.16928,-118.49872
congested,50,52,769831,717495,0.751301,False,10,>8,,False,20300.1,34.20663,-118.20101,34.15664,-118.41326
congested,80,77,765164,765171,0.749264,False,7,7,,False,19282.6,34.07898,-118.28911,34.16789,-118.46896
congested,157,52,717465,717495,0.746631,False,5,5,,False,11870.7,34.09373,-118.30907,34.15664,-118.41326
congested,94,47,717483,769359,0.743944,False,4,4,9950.9,True,9000.3,34.11684,-118.33698,34.1566,-118.42216
congested,67,77,773880,765171,0.74351,False,6,6,,False,11204.8,34.15367,-118.3484,34.16789,-118.46896
congested,116,52,717572,717495,0.740507,False,4,4,,False,7898.1,34.15351,-118.32751,34.15664,-118.41326
congested,167,38,717582,718045,0.740084,False,5,5,,False,10123.9,34.15646,-118.26092,34.06712,-118.23973
congested,116,47,717572,769359,0.739275,False,3,3,8861.8,True,8716.1,34.15351,-118.32751,34.1566,-118.42216
congested,56,47,716955,769359,0.737016,False,8,8,,False,17715.5,34.09579,-118.24427,34.1566,-118.42216
congested,19,47,769402,769359,0.736902,False,4,4,9452.4,True,8610.2,34.12095,-118.33911,34.1566,-118.42216
congested,203,100,717595,772151,0.735149,False,-1,unreachable,,False,29222.6,34.14163,-118.1829,34.16928,-118.49872
congested,169,100,717580,772151,0.734883,False,9,>8,,False,21682.6,34.1562,-118.26359,34.16928,-118.49872
congested,93,52,773024,717495,0.73392,False,7,7,,False,19115.1,34.05759,-118.24357,34.15664,-118.41326
congested,30,52,773013,717495,0.733866,False,9,>8,,False,19486.5,34.08374,-118.22076,34.15664,-118.41326
congested,66,38,767610,718045,0.733066,False,7,7,,False,13324.6,34.18555,-118.21766,34.06712,-118.23973
congested,185,47,717821,769359,0.732108,False,4,4,10358.0,True,6848.9,34.20112,-118.47361,34.1566,-118.42216
congested,50,47,769831,769359,0.730103,False,10,>8,,False,21089.9,34.20663,-118.20101,34.1566,-118.42216
congested,145,47,761003,769359,0.722879,False,5,5,,False,10467.5,34.15546,-118.30841,34.1566,-118.42216
congested,118,38,717570,718045,0.722719,False,6,6,,False,14568.2,34.15302,-118.35921,34.06712,-118.23973
congested,57,47,764949,769359,0.722565,False,3,3,8349.6,True,7589.3,34.12881,-118.34684,34.1566,-118.42216
congested,54,52,773953,717495,0.720453,False,7,7,,False,11026.4,34.15522,-118.29344,34.15664,-118.41326
congested,121,148,769847,717504,0.720386,False,12,>8,,False,25159.2,34.20983,-118.22351,34.16519,-118.49166
congested,36,16,760987,771667,0.716915,False,6,6,,False,13275.7,34.15359,-118.34043,34.07314,-118.23388
congested,36,196,760987,771673,0.716689,False,6,6,,False,13291.7,34.15359,-118.34043,34.07787,-118.22871
congested,31,148,764424,717504,0.714068,False,6,6,,False,9048.1,34.17878,-118.39469,34.16519,-118.49166
congested,108,38,767454,718045,0.712569,False,6,6,10094.9,True,8571.7,34.14352,-118.22733,34.06712,-118.23973
congested,21,52,769819,717495,0.711359,False,10,>8,,False,20540.4,34.20584,-118.19803,34.15664,-118.41326
congested,149,56,763995,716955,0.71111,False,8,8,,False,20511.5,34.21979,-118.40931,34.09579,-118.24427
congested,36,56,760987,716955,0.7069,False,4,4,,False,10938.7,34.15359,-118.34043,34.09579,-118.24427
congested,89,16,767351,771667,0.706234,False,10,>8,,False,24799.7,34.18022,-118.47022,34.07314,-118.23388
congested,145,56,761003,716955,0.705693,False,3,3,9963.1,True,8881.4,34.15546,-118.30841,34.09579,-118.24427
congested,149,16,763995,771667,0.703226,False,8,8,,False,22946.4,34.21979,-118.40931,34.07314,-118.23388
congested,145,196,761003,771673,0.700235,False,5,5,,False,11325.5,34.15546,-118.30841,34.07787,-118.22871
congested,115,141,717573,769346,0.70018,False,4,4,10261.6,True,7298.6,34.15384,-118.325,34.15677,-118.40424
congested,149,196,763995,771673,0.697431,False,9,>8,,False,22918.0,34.21979,-118.40931,34.07787,-118.22871
congested,160,163,717461,717462,0.696421,False,2,2,5924.0,True,626.9,34.08558,-118.30174,34.08993,-118.30607
congested,50,148,769831,717504,0.694472,False,12,>8,,False,27128.9,34.20663,-118.20101,34.16519,-118.49166
congested,145,16,761003,771667,0.694424,False,5,5,,False,11439.6,34.15546,-118.30841,34.07314,-118.23388
congested,89,196,767351,771673,0.693679,False,10,>8,,False,24973.6,34.18022,-118.47022,34.07787,-118.22871
congested,104,16,717818,771667,0.692758,False,10,>8,,False,24164.3,34.1722,-118.46753,34.07314,-118.23388
congested,67,148,773880,717504,0.692635,False,6,6,,False,13243.6,34.15367,-118.3484,34.16519,-118.49166
congested,34,16,717819,771667,0.690678,False,11,>8,,False,25522.9,34.18784,-118.47407,34.07314,-118.23388
congested,118,148,717570,717504,0.689076,False,6,6,,False,12261.9,34.15302,-118.35921,34.16519,-118.49166
congested,169,148,717580,717504,0.687057,False,9,>8,,False,21008.5,34.1562,-118.26359,34.16519,-118.49166
congested,20,148,769403,717504,0.686568,False,6,6,,False,14869.3,34.12073,-118.33928,34.16519,-118.49166
congested,36,141,760987,769346,0.686477,False,3,3,8103.6,True,5882.2,34.15359,-118.34043,34.15677,-118.40424
congested,145,141,761003,769346,0.686279,False,4,4,,False,8819.0,34.15546,-118.30841,34.15677,-118.40424
congested,80,148,765164,717504,0.684841,False,7,7,,False,20965.1,34.07898,-118.28911,34.16519,-118.49166
congested,199,141,774204,769346,0.684654,False,2,2,5863.5,True,5761.2,34.15397,-118.34172,34.15677,-118.40424
congested,89,56,767351,716955,0.684448,False,9,>8,,False,22816.2,34.18022,-118.47022,34.09579,-118.24427
congested,200,141,769806,769346,0.68435,False,9,>8,,False,20695.9,34.19638,-118.18442,34.15677,-118.40424
congested,187,163,717458,717462,0.684059,False,2,2,5419.3,True,1127.3,34.08265,-118.29755,34.08993,-118.30607
congested,12,163,716339,717462,0.680024,False,2,2,6329.7,True,2117.3,34.07821,-118.28795,34.08993,-118.30607
congested,193,163,717453,717462,0.67952,False,2,2,7082.6,True,2727.7,34.07696,-118.28093,34.08993,-118.30607
congested,104,196,717818,771673,0.679205,False,10,>8,,False,24357.3,34.1722,-118.46753,34.07787,-118.22871
congested,116,141,717572,769346,0.6784,False,3,3,7207.1,True,7069.7,34.15351,-118.32751,34.15677,-118.40424
congested,4,163,717446,717462,0.676698,False,3,3,8194.9,True,4248.0,34.07142,-118.26572,34.08993,-118.30607
congested,34,196,717819,771673,0.675685,False,11,>8,,False,25681.1,34.18784,-118.47407,34.07787,-118.22871
congested,198,141,769372,769346,0.675476,False,3,3,,False,10009.2,34.1027,-118.3173,34.15677,-118.40424
congested,0,141,773869,769346,0.674241,False,3,3,9628.4,True,7911.2,34.15497,-118.31829,34.15677,-118.40424
congested,196,76,771673,717499,0.672574,False,10,>8,,False,22013.1,34.07787,-118.22871,34.15666,-118.44808
congested,36,73,760987,717493,0.672437,False,3,3,,False,5130.6,34.15359,-118.34043,34.15434,-118.39618
congested,145,51,761003,761604,0.670325,False,5,5,6936.5,True,1966.0,34.15546,-118.30841,34.15407,-118.28711
congested,167,56,717582,716955,0.668377,False,3,3,9489.8,True,6918.1,34.15646,-118.26092,34.09579,-118.24427
congested,149,51,763995,761604,0.668181,False,10,>8,,False,13406.8,34.21979,-118.40931,34.15407,-118.28711
congested,39,73,769418,717493,0.663954,False,3,3,9618.9,True,5657.9,34.12659,-118.34465,34.15434,-118.39618
congested,44,196,774012,771673,0.663632,False,7,7,,False,8161.4,34.14769,-118.20137,34.07787,-118.22871
congested,111,56,773916,716955,0.662176,False,3,3,9430.8,True,7342.8,34.15247,-118.2852,34.09579,-118.24427
congested,57,73,764949,717493,0.66012,False,3,3,9329.5,True,5355.2,34.12881,-118.34684,34.15434,-118.39618
congested,107,16,767455,771667,0.659644,False,6,6,,False,7845.7,34.14347,-118.22704,34.07314,-118.23388
congested,123,16,767523,771667,0.659261,False,6,6,8295.5,True,4648.7,34.11439,-118.24209,34.07314,-118.23388
congested,74,196,765176,771673,0.656949,False,6,6,,False,12840.8,34.13286,-118.35135,34.07787,-118.22871
congested,134,73,716951,717493,0.655643,False,8,8,,False,16940.6,34.08581,-118.23182,34.15434,-118.39618
congested,138,76,772513,717499,0.654367,False,10,>8,,False,21786.7,34.06871,-118.23661,34.15666,-118.44808
congested,94,76,717483,717499,0.653637,False,6,6,,False,11142.7,34.11684,-118.33698,34.15666,-118.44808
congested,15,4,716331,717446,0.653056,False,2,2,5962.1,True,336.2,34.07006,-118.26246,34.07142,-118.26572
congested,160,15,717461,716331,0.652691,False,2,2,4071.3,True,4008.2,34.08558,-118.30174,34.07006,-118.26246
congested,67,56,773880,716955,0.651501,False,4,4,,False,11545.4,34.15367,-118.3484,34.09579,-118.24427
congested,116,73,717572,717493,0.649585,False,3,3,9841.7,True,6319.5,34.15351,-118.32751,34.15434,-118.39618
congested,119,56,764760,716955,0.649133,False,5,5,,False,11049.3,34.13401,-118.35506,34.09579,-118.24427
congested,45,159,774011,717466,0.648812,False,-1,unreachable,,False,11603.5,34.14747,-118.20123,34.09359,-118.30918
congested,112,73,716968,717493,0.648447,False,6,6,,False,9116.1,34.16588,-118.29809,34.15434,-118.39618
congested,44,12,774012,716339,0.647202,False,9,>8,,False,11100.5,34.14769,-118.20137,34.07821,-118.28795
congested,15,163,716331,717462,0.644438,False,4,4,,False,4584.0,34.07006,-118.26246,34.08993,-118.30607
congested,187,159,717458,717466,0.642425,False,2,2,4920.0,True,1620.8,34.08265,-118.29755,34.09359,-118.30918
congested,43,73,760024,717493,0.642198,False,3,3,6476.6,True,6340.8,34.1593,-118.46483,34.15434,-118.39618
congested,56,163,716955,717462,0.641364,False,4,4,,False,5728.0,34.09579,-118.24427,34.08993,-118.30607
congested,193,159,717453,717466,0.64008,False,2,2,6583.3,True,3191.8,34.07696,-118.28093,34.09359,-118.30918
congested,128,76,717473,717499,0.639515,False,7,7,,False,13680.9,34.10054,-118.31581,34.15666,-118.44808
congested,67,12,773880,716339,0.638538,False,6,6,,False,10068.5,34.15367,-118.3484,34.07821,-118.28795
congested,12,159,716339,717466,0.635449,False,2,2,5830.4,True,2597.5,34.07821,-118.28795,34.09359,-118.30918
congested,160,159,717461,717466,0.632533,False,2,2,5424.7,True,1123.7,34.08558,-118.30174,34.09359,-118.30918
congested,105,51,718076,761604,0.631921,False,5,5,8648.8,True,5780.9,34.16339,-118.2253,34.15407,-118.28711
congested,36,76,760987,717499,0.631165,False,5,5,,False,9911.4,34.15359,-118.34043,34.15666,-118.44808
congested,4,159,717446,717466,0.630674,False,2,2,7695.6,True,4700.7,34.07142,-118.26572,34.09359,-118.30918
congested,163,144,717462,764853,0.630044,False,2,2,5934.4,True,5799.4,34.08993,-118.30607,34.06461,-118.25102
congested,160,127,717461,717472,0.62848,False,2,2,6909.7,True,2112.0,34.08558,-118.30174,34.10045,-118.31601
congested,4,12,717446,716339,0.627997,False,2,2,4961.7,True,2182.2,34.07142,-118.26572,34.07821,-118.28795
congested,12,187,716339,717458,0.627979,False,2,2,4990.1,True,1012.6,34.07821,-118.28795,34.08265,-118.29755
congested,149,29,763995,773012,0.627635,False,10,>8,,False,23000.7,34.21979,-118.40931,34.0839,-118.22086
congested,13,12,773906,716339,0.626477,False,6,6,,False,8821.1,34.1566,-118.30266,34.07821,-118.28795
congested,193,187,717453,717458,0.623805,False,2,2,5743.0,True,1656.3,34.07696,-118.28093,34.08265,-118.29755
congested,187,144,717458,764853,0.621951,False,2,2,4794.0,True,4731.9,34.08265,-118.29755,34.06461,-118.25102
congested,66,12,767610,716339,0.621695,False,9,>8,,False,13576.3,34.18555,-118.21766,34.07821,-118.28795
congested,13,91,773906,773023,0.620757,False,6,6,,False,12270.0,34.1566,-118.30266,34.05773,-118.24348
congested,115,76,717573,717499,0.620524,False,6,6,,False,11329.7,34.15384,-118.325,34.15666,-118.44808
congested,107,12,767455,716339,0.618701,False,8,8,,False,9170.8,34.14347,-118.22704,34.07821,-118.28795
congested,4,160,717446,717461,0.618141,False,2,2,6350.6,True,3672.1,34.07142,-118.26572,34.08558,-118.30174
congested,36,91,760987,773023,0.617399,False,6,6,,False,13903.0,34.15359,-118.34043,34.05773,-118.24348
congested,74,51,765176,761604,0.614728,False,8,8,,False,6365.0,34.13286,-118.35135,34.15407,-118.28711
congested,67,191,773880,717450,0.614673,False,6,6,,False,11142.2,34.15367,-118.3484,34.07488,-118.27362
congested,164,172,769345,772178,0.613948,False,4,4,,False,8799.3,34.15655,-118.40441,34.16903,-118.49885
congested,159,127,717466,717472,0.613154,False,2,2,6068.7,True,988.6,34.09359,-118.30918,34.10045,-118.31601
congested,155,127,717468,717472,0.60949,False,2,2,4058.7,True,434.8,34.09699,-118.31381,34.10045,-118.31601
congested,36,187,760987,717458,0.608971,False,5,5,,False,8820.7,34.15359,-118.34043,34.08265,-118.29755
congested,105,160,718076,717461,0.606495,False,8,8,,False,11152.0,34.16339,-118.2253,34.08558,-118.30174
congested,145,91,761003,773023,0.604507,False,5,5,,False,12402.8,34.15546,-118.30841,34.05773,-118.24348
congested,160,144,717461,764853,0.602661,False,2,2,5298.8,True,5221.1,34.08558,-118.30174,34.06461,-118.25102
congested,119,51,764760,761604,0.60073,False,7,7,,False,6639.2,34.13401,-118.35506,34.15407,-118.28711
congested,149,15,763995,716331,0.598773,False,7,7,,False,21443.6,34.21979,-118.40931,34.07006,-118.26246
congested,105,187,718076,717458,0.598733,False,8,8,,False,11172.9,34.16339,-118.2253,34.08265,-118.29755
congested,15,159,716331,717466,0.598544,False,4,4,,False,5035.8,34.07006,-118.26246,34.09359,-118.30918
congested,123,187,767523,717458,0.597302,False,8,8,,False,6207.6,34.11439,-118.24209,34.08265,-118.29755
congested,198,51,769372,761604,0.596739,False,7,7,10166.4,True,6352.2,34.1027,-118.3173,34.15407,-118.28711
congested,12,160,716339,717461,0.596681,False,2,2,4485.3,True,1511.5,34.07821,-118.28795,34.08558,-118.30174
congested,56,160,716955,717461,0.594284,False,4,4,,False,5412.6,34.09579,-118.24427,34.08558,-118.30174
congested,67,15,773880,716331,0.593543,False,7,7,,False,12207.9,34.15367,-118.3484,34.07006,-118.26246
congested,193,160,717453,717461,0.592537,False,2,2,5238.2,True,2142.8,34.07696,-118.28093,34.08558,-118.30174
congested,155,144,717468,764853,0.589788,False,2,2,7007.5,True,6812.0,34.09699,-118.31381,34.06461,-118.25102
congested,116,91,717572,773023,0.589737,False,6,6,,False,13163.7,34.15351,-118.32751,34.05773,-118.24348
congested,144,4,764853,717446,0.58871,False,2,2,4734.7,True,1551.4,34.06461,-118.25102,34.07142,-118.26572
congested,107,51,767455,761604,0.588331,False,6,6,9194.6,True,5652.1,34.14347,-118.22704,34.15407,-118.28711
congested,115,144,717573,764853,0.587826,False,7,7,,False,12034.7,34.15384,-118.325,34.06461,-118.25102
congested,37,91,718204,773023,0.587603,False,5,5,,False,11879.9,34.15541,-118.29575,34.05773,-118.24348
congested,36,4,760987,717446,0.587483,False,5,5,,False,11436.3,34.15359,-118.34043,34.07142,-118.26572
congested,104,91,717818,773023,0.586499,False,10,>8,,False,24237.3,34.1722,-118.46753,34.05773,-118.24348
congested,16,159,771667,717466,0.585748,False,3,3,,False,7298.0,34.07314,-118.23388,34.09359,-118.30918
