regime,target,sensor_id,lat,lon,in_degree,self_mass_share,mass_on_adjacent,mass_on_far_road,mass_on_no_road_path,mass_off_adjacency
congested,51,761604,34.15407,-118.28711,1,0.0129,0.0049,0.3339,0.6612,0.9951
congested,29,773012,34.0839,-118.22086,1,0.0133,0.0057,0.191,0.8034,0.9943
congested,56,716955,34.09579,-118.24427,2,0.009,0.0085,0.3933,0.5982,0.9915
congested,126,769867,34.21846,-118.23931,2,0.0123,0.015,0.1005,0.8845,0.985
congested,52,717495,34.15664,-118.41326,4,0.0048,0.0182,0.2231,0.7588,0.9818
congested,148,717504,34.16519,-118.49166,4,0.0065,0.0184,0.1344,0.8472,0.9816
congested,100,772151,34.16928,-118.49872,4,0.0054,0.0208,0.0984,0.8809,0.9792
congested,47,769359,34.1566,-118.42216,5,0.0061,0.0209,0.3008,0.6784,0.9791
congested,73,717493,34.15434,-118.39618,5,0.0075,0.03,0.2428,0.7272,0.97
congested,88,767350,34.18011,-118.47045,7,0.0063,0.0335,0.1514,0.8152,0.9665
congested,38,718045,34.06712,-118.23973,6,0.0069,0.0349,0.252,0.7131,0.9651
congested,141,769346,34.15677,-118.40424,10,0.0049,0.036,0.2643,0.6996,0.964
congested,84,767053,34.17091,-118.46775,6,0.0062,0.0374,0.1495,0.8131,0.9626
congested,172,772178,34.16903,-118.49885,6,0.0088,0.0389,0.1507,0.8104,0.9611
congested,48,760650,34.07505,-118.23256,8,0.0065,0.0401,0.2218,0.7382,0.9599
congested,9,717816,34.15562,-118.4686,7,0.0062,0.0415,0.1761,0.7824,0.9585
congested,197,772167,34.16526,-118.47985,9,0.0143,0.0441,0.1262,0.8296,0.9559
congested,76,717499,34.15666,-118.44808,8,0.0094,0.0494,0.141,0.8096,0.9506
congested,77,765171,34.16789,-118.46896,10,0.0058,0.0521,0.171,0.7769,0.9479
congested,127,717472,34.10045,-118.31601,10,0.0062,0.0554,0.2737,0.6709,0.9446
congested,91,773023,34.05773,-118.24348,10,0.0086,0.0555,0.2215,0.7231,0.9445
congested,196,771673,34.07787,-118.22871,12,0.0092,0.0582,0.2047,0.7372,0.9418
congested,4,717446,34.07142,-118.26572,10,0.0083,0.0594,0.2944,0.6463,0.9406
congested,144,764853,34.06461,-118.25102,11,0.0086,0.0616,0.2882,0.6502,0.9384
congested,191,717450,34.07488,-118.27362,12,0.0075,0.0673,0.2918,0.6409,0.9327
congested,193,717453,34.07696,-118.28093,12,0.0095,0.0711,0.2483,0.6806,0.9289
