target,sensor_id,lat,lon,in_degree,mass_off_adjacency,mass_on_no_road_path,mass_on_far_road,self_mass_share,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
44,774012,34.14769,-118.20137,0,1.0,0.8009,0.1991,0.0141,7.546,442,5,70.0,0.0,66.33
26,717804,34.09478,-118.47605,0,1.0,1.0,0.0,0.0104,10.872,1134,66,70.0,0.0,53.2
121,769847,34.20983,-118.22351,1,0.9955,0.9572,0.0382,0.0148,7.96,381,5,70.0,0.0,59.72
150,717508,34.17112,-118.51814,1,0.9946,0.8918,0.1028,0.0096,10.455,381,3,70.0,0.0,55.0
29,773012,34.0839,-118.22086,1,0.9943,0.8034,0.191,0.0133,6.559,381,4,70.0,0.0,44.06
66,767610,34.18555,-118.21766,1,0.9942,0.9146,0.0796,0.0162,11.339,402,4,70.0,0.0,65.74
90,716571,34.2,-118.40337,1,0.994,0.9536,0.0404,0.0135,7.578,381,5,70.0,0.0,66.91
51,761604,34.15407,-118.28711,1,0.9939,0.66305,0.3308,0.013600000000000001,8.459,381,3,70.0,0.0,50.45
59,767366,34.21216,-118.47341,1,0.9938,0.9073,0.0865,0.0148,6.772,381,3,70.0,0.0,60.35
194,759772,34.17115,-118.30539,1,0.9931,0.7655,0.2276,0.012,10.948,1160,3,70.0,0.0,55.98
152,773996,34.14511,-118.21587,1,0.993,0.9199,0.0731,0.0136,7.589,442,3,70.0,0.0,61.42
8,737529,34.20264,-118.47352,1,0.993,0.9242,0.0688,0.0137,7.831,381,3,70.0,0.0,60.83
184,767494,34.10377,-118.24962,1,0.992,0.6484,0.3436,0.0153,6.434,381,3,70.0,0.0,63.92
56,716955,34.09579,-118.24427,2,0.9915,0.5982,0.3933,0.009,15.68,857,4,70.0,0.0,38.83
149,763995,34.21979,-118.40931,1,0.9909,0.8881,0.1028,0.0132,9.031,575,15,70.0,0.0,59.43
200,769806,34.19638,-118.18442,2,0.9898,0.9552,0.0345,0.0147,6.335,381,5,70.0,0.0,63.84
178,773975,34.14584,-118.22251,1,0.9895,0.9161,0.0734,0.0152,6.364,381,3,70.0,0.0,64.11
50,769831,34.20663,-118.20101,2,0.9895,0.8941,0.0954,0.0152,6.626,381,3,70.0,0.0,59.12
46,767609,34.18555,-118.21733,2,0.9887,0.8004,0.1883,0.0133,10.778,402,3,70.0,0.0,61.46
105,718076,34.16339,-118.2253,1,0.9876,0.9216,0.066,0.0102,20.104,875,82,70.0,0.0,67.29
109,761599,34.14226,-118.27786,2,0.987,0.566,0.421,0.0116,9.425,588,3,70.0,0.0,57.76
