checkpoint,method,n_effective,n_reference,n_true_positive,precision,recall,jaccard,n_off_adjacency,targets_with_fewer_than_k_road_sources
metr_la_best.pt,learned_top_k,1656,1515,191,0.11533816425120773,0.12607260726072608,0.06409395973154362,1465,
metr_la_best.pt,uniform_random,1656,1515,49,0.029589371980676328,0.03234323432343234,0.01569506726457399,1607,
metr_la_best.pt,degree_matched_random,1656,1515,63,0.03804347826086957,0.041584158415841586,0.02027027027027027,1593,
metr_la_best.pt,nearest_by_road_distance,1648,1515,1246,0.7560679611650486,0.8224422442244225,0.6499739175795514,402,1.0
metr_la_best_epoch34_ARCHIVE.pt,learned_top_k,1656,1515,126,0.07608695652173914,0.08316831683168317,0.041379310344827586,1530,
metr_la_best_epoch34_ARCHIVE.pt,uniform_random,1656,1515,49,0.029589371980676328,0.03234323432343234,0.01569506726457399,1607,
metr_la_best_epoch34_ARCHIVE.pt,degree_matched_random,1656,1515,63,0.03804347826086957,0.041584158415841586,0.02027027027027027,1593,
metr_la_best_epoch34_ARCHIVE.pt,nearest_by_road_distance,1648,1515,1246,0.7560679611650486,0.8224422442244225,0.6499739175795514,402,1.0
metr_la_fusion_best.pt,learned_top_k,1656,1515,233,0.14070048309178743,0.1537953795379538,0.07930565010211028,1423,
metr_la_fusion_best.pt,uniform_random,1656,1515,49,0.029589371980676328,0.03234323432343234,0.01569506726457399,1607,
metr_la_fusion_best.pt,degree_matched_random,1656,1515,63,0.03804347826086957,0.041584158415841586,0.02027027027027027,1593,
metr_la_fusion_best.pt,nearest_by_road_distance,1648,1515,1246,0.7560679611650486,0.8224422442244225,0.6499739175795514,402,1.0
