checkpoint,bucket,n_effective_edges,share_of_effective
metr_la_best.pt,1,191,0.1153
metr_la_best.pt,2,256,0.1546
metr_la_best.pt,3,234,0.1413
metr_la_best.pt,4,178,0.1075
metr_la_best.pt,5,155,0.0936
metr_la_best.pt,6,152,0.0918
metr_la_best.pt,7,131,0.0791
metr_la_best.pt,8,106,0.064
metr_la_best.pt,>8,196,0.1184
metr_la_best.pt,unreachable,57,0.0344
metr_la_best_epoch34_ARCHIVE.pt,1,126,0.0761
metr_la_best_epoch34_ARCHIVE.pt,2,173,0.1045
metr_la_best_epoch34_ARCHIVE.pt,3,204,0.1232
metr_la_best_epoch34_ARCHIVE.pt,4,179,0.1081
metr_la_best_epoch34_ARCHIVE.pt,5,208,0.1256
metr_la_best_epoch34_ARCHIVE.pt,6,216,0.1304
metr_la_best_epoch34_ARCHIVE.pt,7,172,0.1039
metr_la_best_epoch34_ARCHIVE.pt,8,116,0.07
metr_la_best_epoch34_ARCHIVE.pt,>8,184,0.1111
metr_la_best_epoch34_ARCHIVE.pt,unreachable,78,0.0471
metr_la_fusion_best.pt,1,233,0.1407
metr_la_fusion_best.pt,2,295,0.1781
metr_la_fusion_best.pt,3,215,0.1298
metr_la_fusion_best.pt,4,190,0.1147
metr_la_fusion_best.pt,5,184,0.1111
metr_la_fusion_best.pt,6,175,0.1057
metr_la_fusion_best.pt,7,102,0.0616
metr_la_fusion_best.pt,8,53,0.032
metr_la_fusion_best.pt,>8,152,0.0918
metr_la_fusion_best.pt,unreachable,57,0.0344
