regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
learned_semantic,4,193,717446,717453,0.050404,False,2,2,4476.0,True,1530.4,34.07142,-118.26572,34.07696,-118.28093
learned_semantic,15,4,716331,717446,0.047222,False,2,2,5962.1,True,336.2,34.07006,-118.26246,34.07142,-118.26572
learned_semantic,15,193,716331,717453,0.041468,False,3,3,7634.4,True,1866.2,34.07006,-118.26246,34.07696,-118.28093
learned_semantic,191,193,717450,717453,0.03947,False,2,2,4400.0,True,711.9,34.07488,-118.27362,34.07696,-118.28093
learned_semantic,15,191,716331,717450,0.036069,False,3,3,6933.0,True,1159.2,34.07006,-118.26246,34.07488,-118.27362
learned_semantic,4,12,717446,716339,0.031778,False,2,2,4961.7,True,2182.2,34.07142,-118.26572,34.07821,-118.28795
learned_semantic,15,12,716331,716339,0.027903,False,3,3,8120.2,True,2516.6,34.07006,-118.26246,34.07821,-118.28795
learned_semantic,155,4,717468,717446,0.027896,False,2,2,5443.5,True,5262.9,34.09699,-118.31381,34.07142,-118.26572
learned_semantic,163,4,717462,717446,0.026838,False,2,2,4370.4,True,4248.0,34.08993,-118.30607,34.07142,-118.26572
learned_semantic,160,15,717461,716331,0.025237,False,2,2,4071.3,True,4008.2,34.08558,-118.30174,34.07006,-118.26246
learned_semantic,191,12,717450,716339,0.024951,False,2,2,4657.2,True,1370.8,34.07488,-118.27362,34.07821,-118.28795
learned_semantic,26,138,717804,772513,0.024588,False,-1,unreachable,,False,22241.2,34.09478,-118.47605,34.06871,-118.23661
learned_semantic,4,160,717446,717461,0.024068,False,2,2,6350.6,True,3672.1,34.07142,-118.26572,34.08558,-118.30174
learned_semantic,119,149,764760,763995,0.023315,False,4,4,,False,10765.0,34.13401,-118.35506,34.21979,-118.40931
learned_semantic,193,160,717453,717461,0.023278,False,2,2,5238.2,True,2142.8,34.07696,-118.28093,34.08558,-118.30174
learned_semantic,64,106,767750,718072,0.022861,False,5,5,,False,6449.9,34.09335,-118.20635,34.1491,-118.2257
learned_semantic,137,175,769358,768469,0.022763,False,3,3,8673.2,True,6188.0,34.15679,-118.42222,34.13583,-118.35993
learned_semantic,155,191,717468,717450,0.022601,False,2,2,4618.8,True,4443.3,34.09699,-118.31381,34.07488,-118.27362
learned_semantic,155,15,717468,716331,0.022592,False,2,2,5780.1,True,5597.4,34.09699,-118.31381,34.07006,-118.26246
learned_semantic,175,119,768469,764760,0.022541,False,2,2,7136.9,True,491.8,34.13583,-118.35993,34.13401,-118.35506
learned_semantic,172,175,772178,768469,0.021885,False,7,7,,False,13305.7,34.16903,-118.49885,34.13583,-118.35993
learned_semantic,15,160,716331,717461,0.021822,False,3,3,9617.7,True,4008.2,34.07006,-118.26246,34.08558,-118.30174
learned_semantic,74,149,765176,763995,0.021639,False,4,4,,False,11039.2,34.13286,-118.35135,34.21979,-118.40931
learned_semantic,4,163,717446,717462,0.02148,False,3,3,8194.9,True,4248.0,34.07142,-118.26572,34.08993,-118.30607
learned_semantic,172,137,772178,769358,0.02147,False,4,4,,False,7180.7,34.16903,-118.49885,34.15679,-118.42222
learned_semantic,4,187,717446,717458,0.021409,False,2,2,6855.4,True,3186.4,34.07142,-118.26572,34.08265,-118.29755
learned_semantic,137,172,769358,772178,0.020945,False,3,3,9160.8,True,7180.7,34.15679,-118.42222,34.16903,-118.49885
learned_semantic,163,15,717462,716331,0.020824,False,2,2,4706.9,True,4584.0,34.08993,-118.30607,34.07006,-118.26246
learned_semantic,149,119,763995,764760,0.020753,False,6,6,,False,10765.0,34.21979,-118.40931,34.13401,-118.35506
learned_semantic,137,119,769358,764760,0.020686,False,4,4,,False,6679.4,34.15679,-118.42222,34.13401,-118.35506
learned_semantic,138,26,772513,717804,0.020577,False,-1,unreachable,,False,22241.2,34.06871,-118.23661,34.09478,-118.47605
learned_semantic,175,149,768469,763995,0.020397,False,4,4,,False,10382.4,34.13583,-118.35993,34.21979,-118.40931
learned_semantic,12,160,716339,717461,0.02031,False,2,2,4485.3,True,1511.5,34.07821,-118.28795,34.08558,-118.30174
learned_semantic,175,74,768469,765176,0.020304,False,2,2,6771.4,True,856.0,34.13583,-118.35993,34.13286,-118.35135
learned_semantic,191,160,717450,717461,0.020192,False,2,2,5939.0,True,2850.0,34.07488,-118.27362,34.08558,-118.30174
learned_semantic,172,119,772178,764760,0.020092,False,8,8,,False,13792.7,34.16903,-118.49885,34.13401,-118.35506
learned_semantic,4,155,717446,717468,0.019948,False,2,2,7753.3,True,5262.9,34.07142,-118.26572,34.09699,-118.31381
learned_semantic,191,187,717450,717458,0.019947,False,2,2,6443.8,True,2367.2,34.07488,-118.27362,34.08265,-118.29755
learned_semantic,94,149,717483,763995,0.019853,False,5,5,,False,13241.1,34.11684,-118.33698,34.21979,-118.40931
learned_semantic,63,175,769443,768469,0.019775,False,4,4,,False,7633.2,34.15574,-118.43931,34.13583,-118.35993
learned_semantic,193,163,717453,717462,0.019759,False,2,2,7082.6,True,2727.7,34.07696,-118.28093,34.08993,-118.30607
learned_semantic,4,127,717446,717472,0.019665,False,3,3,9180.6,True,5645.2,34.07142,-118.26572,34.10045,-118.31601
learned_semantic,191,163,717450,717462,0.019616,False,2,2,7783.4,True,3425.1,34.07488,-118.27362,34.08993,-118.30607
learned_semantic,175,137,768469,769358,0.019534,False,3,3,8661.9,True,6188.0,34.13583,-118.35993,34.15679,-118.42222
learned_semantic,69,119,717497,764760,0.019533,False,5,5,,False,6035.9,34.15685,-118.41456,34.13401,-118.35506
learned_semantic,106,105,718072,718076,0.019502,False,7,7,,False,1589.4,34.1491,-118.2257,34.16339,-118.2253
learned_semantic,69,175,717497,768469,0.019475,False,4,4,,False,5544.1,34.15685,-118.41456,34.13583,-118.35993
learned_semantic,193,155,717453,717468,0.019295,False,2,2,6640.9,True,3758.8,34.07696,-118.28093,34.09699,-118.31381
learned_semantic,193,187,717453,717458,0.019279,False,2,2,5743.0,True,1656.3,34.07696,-118.28093,34.08265,-118.29755
learned_semantic,15,163,716331,717462,0.019187,False,4,4,,False,4584.0,34.07006,-118.26246,34.08993,-118.30607
learned_semantic,138,175,772513,768469,0.019164,False,6,6,,False,13587.8,34.06871,-118.23661,34.13583,-118.35993
learned_semantic,117,149,717571,763995,0.019163,False,3,3,9706.2,True,8715.7,34.15326,-118.35921,34.21979,-118.40931
learned_semantic,26,175,717804,768469,0.019147,False,-1,unreachable,,False,11623.7,34.09478,-118.47605,34.13583,-118.35993
learned_semantic,149,74,763995,765176,0.019141,False,6,6,,False,11039.2,34.21979,-118.40931,34.13286,-118.35135
learned_semantic,191,127,717450,717472,0.019106,False,3,3,8769.0,True,4829.4,34.07488,-118.27362,34.10045,-118.31601
learned_semantic,15,187,716331,717458,0.019075,False,3,3,10122.5,True,3522.0,34.07006,-118.26246,34.08265,-118.29755
learned_semantic,164,175,769345,768469,0.018881,False,2,2,7032.3,True,4697.2,34.15655,-118.40441,34.13583,-118.35993
learned_semantic,106,64,718072,767750,0.018869,False,6,6,7973.6,True,6449.9,34.1491,-118.2257,34.09335,-118.20635
learned_semantic,63,119,769443,764760,0.018793,False,5,5,,False,8121.1,34.15574,-118.43931,34.13401,-118.35506
learned_semantic,164,119,769345,764760,0.018772,False,4,4,,False,5187.2,34.15655,-118.40441,34.13401,-118.35506
learned_semantic,137,74,769358,765176,0.018755,False,4,4,,False,7043.9,34.15679,-118.42222,34.13286,-118.35135
learned_semantic,138,149,772513,763995,0.018694,False,9,>8,,False,23126.0,34.06871,-118.23661,34.21979,-118.40931
learned_semantic,15,155,716331,717468,0.018598,False,4,4,,False,5597.4,34.07006,-118.26246,34.09699,-118.31381
learned_semantic,4,159,717446,717466,0.018428,False,2,2,7695.6,True,4700.7,34.07142,-118.26572,34.09359,-118.30918
learned_semantic,172,74,772178,765176,0.018339,False,8,8,,False,14156.4,34.16903,-118.49885,34.13286,-118.35135
learned_semantic,175,172,768469,772178,0.018322,False,5,5,,False,13305.7,34.13583,-118.35993,34.16903,-118.49885
learned_semantic,113,137,769467,769358,0.018176,False,2,2,4165.3,True,2335.4,34.15451,-118.39699,34.15679,-118.42222
learned_semantic,26,137,717804,769358,0.018098,False,-1,unreachable,,False,8490.9,34.09478,-118.47605,34.15679,-118.42222
learned_semantic,63,172,769443,772178,0.018089,False,2,2,5939.7,True,5674.0,34.15574,-118.43931,34.16903,-118.49885
learned_semantic,81,137,769431,769358,0.018009,False,2,2,5160.2,True,3172.3,34.15843,-118.45664,34.15679,-118.42222
learned_semantic,69,74,717497,765176,0.017924,False,5,5,,False,6399.5,34.15685,-118.41456,34.13286,-118.35135
learned_semantic,137,69,769358,717497,0.017865,False,2,2,4241.8,True,704.9,34.15679,-118.42222,34.15685,-118.41456
learned_semantic,158,149,764794,763995,0.017712,False,8,8,,False,8544.4,34.16028,-118.46808,34.21979,-118.40931
learned_semantic,63,74,769443,765176,0.017703,False,5,5,,False,8485.2,34.15574,-118.43931,34.13286,-118.35135
learned_semantic,69,149,717497,763995,0.017685,False,6,6,,False,7015.2,34.15685,-118.41456,34.21979,-118.40931
learned_semantic,172,63,772178,769443,0.017656,False,4,4,,False,5674.0,34.16903,-118.49885,34.15574,-118.43931
