dataset,scenario_id,sample_index,scenario_type,tod_band,congestion,seed,condition,chosen,ground_truth,correct,delay_reduction
metr_la,s0001,5479,night|medium,night,medium,0,RAW,signal_retiming,signal_retiming,1,17.478
metr_la,s0001,5479,night|medium,night,medium,0,XTRAFFIC,signal_retiming,signal_retiming,1,17.478
metr_la,s0001,5479,night|medium,night,medium,1,RAW,signal_retiming,signal_retiming,1,17.478
metr_la,s0001,5479,night|medium,night,medium,1,XTRAFFIC,ramp_metering,signal_retiming,0,16.221
metr_la,s0001,5479,night|medium,night,medium,2,RAW,signal_retiming,signal_retiming,1,17.478
metr_la,s0001,5479,night|medium,night,medium,2,XTRAFFIC,signal_retiming,signal_retiming,1,17.478
metr_la,s0003,4397,am_rush|medium,am_rush,medium,0,RAW,signal_retiming,transit_surge,0,0.442
metr_la,s0003,4397,am_rush|medium,am_rush,medium,0,XTRAFFIC,ramp_metering,transit_surge,0,12.112
metr_la,s0003,4397,am_rush|medium,am_rush,medium,1,RAW,signal_retiming,transit_surge,0,0.442
metr_la,s0003,4397,am_rush|medium,am_rush,medium,1,XTRAFFIC,signal_retiming,transit_surge,0,0.442
metr_la,s0003,4397,am_rush|medium,am_rush,medium,2,RAW,signal_retiming,transit_surge,0,0.442
metr_la,s0003,4397,am_rush|medium,am_rush,medium,2,XTRAFFIC,ramp_metering,transit_surge,0,12.112
metr_la,s0001,5464,night|low,night,low,0,RAW,signal_retiming,transit_surge,0,1.886
metr_la,s0001,5464,night|low,night,low,0,XTRAFFIC,ramp_metering,transit_surge,0,0.234
metr_la,s0001,5464,night|low,night,low,1,RAW,signal_retiming,transit_surge,0,1.886
metr_la,s0001,5464,night|low,night,low,1,XTRAFFIC,signal_retiming,transit_surge,0,1.886
metr_la,s0001,5464,night|low,night,low,2,RAW,signal_retiming,transit_surge,0,1.886
metr_la,s0001,5464,night|low,night,low,2,XTRAFFIC,ramp_metering,transit_surge,0,0.234
metr_la,s0003,6058,night|medium,night,medium,0,RAW,signal_retiming,signal_retiming,1,19.909
metr_la,s0003,6058,night|medium,night,medium,0,XTRAFFIC,signal_retiming,signal_retiming,1,19.909
metr_la,s0003,6058,night|medium,night,medium,1,RAW,signal_retiming,signal_retiming,1,19.909
metr_la,s0003,6058,night|medium,night,medium,1,XTRAFFIC,ramp_metering,signal_retiming,0,12.416
metr_la,s0003,6058,night|medium,night,medium,2,RAW,signal_retiming,signal_retiming,1,19.909
metr_la,s0003,6058,night|medium,night,medium,2,XTRAFFIC,signal_retiming,signal_retiming,1,19.909
metr_la,s0005,3532,am_rush|low,am_rush,low,0,RAW,signal_retiming,transit_surge,0,-1.858
metr_la,s0005,3532,am_rush|low,am_rush,low,0,XTRAFFIC,ramp_metering,transit_surge,0,23.779
metr_la,s0005,3532,am_rush|low,am_rush,low,1,RAW,signal_retiming,transit_surge,0,-1.858
metr_la,s0005,3532,am_rush|low,am_rush,low,1,XTRAFFIC,signal_retiming,transit_surge,0,-1.858
metr_la,s0005,3532,am_rush|low,am_rush,low,2,RAW,signal_retiming,transit_surge,0,-1.858
metr_la,s0005,3532,am_rush|low,am_rush,low,2,XTRAFFIC,ramp_metering,transit_surge,0,23.779
metr_la,s0015,5574,midday|high,midday,high,0,RAW,signal_retiming,ramp_metering,0,40.369
metr_la,s0015,5574,midday|high,midday,high,0,XTRAFFIC,ramp_metering,ramp_metering,1,58.113
metr_la,s0015,5574,midday|high,midday,high,1,RAW,signal_retiming,ramp_metering,0,40.369
metr_la,s0015,5574,midday|high,midday,high,1,XTRAFFIC,ramp_metering,ramp_metering,1,58.113
metr_la,s0015,5574,midday|high,midday,high,2,RAW,signal_retiming,ramp_metering,0,40.369
metr_la,s0015,5574,midday|high,midday,high,2,XTRAFFIC,ramp_metering,ramp_metering,1,58.113
metr_la,s0005,6592,night|low,night,low,0,RAW,signal_retiming,signal_retiming,1,14.413
