sample_index,target_node,tod_band,congestion,condition,source,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,n_cited_causes,n_topk
4289,16,night,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
4289,16,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5464,54,night,low,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
5464,54,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6643,51,night,low,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
6643,51,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1740,166,night,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
1740,166,night,low,B,committed,1.0,0.25,0.4,0.0,1.0,8.0
5460,54,night,low,A,committed,1.0,1.0,1.0,0.0,2.0,8.0
5460,54,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6592,197,night,low,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
6592,197,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3145,125,night,low,A,committed,1.0,0.375,0.5454545454545454,0.0,1.0,8.0
3145,125,night,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5479,16,night,medium,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
5479,16,night,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6058,196,night,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
6058,196,night,medium,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
6335,105,night,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
6335,105,night,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6615,197,night,medium,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
6615,197,night,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6316,77,night,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
6316,77,night,medium,B,committed,0.5,0.125,0.2,0.5,2.0,8.0
1154,197,night,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
1154,197,night,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3163,51,night,medium,A,committed,1.0,0.875,0.9333333333333333,0.0,3.0,8.0
3163,51,night,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3506,16,am_rush,low,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
3506,16,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3532,56,am_rush,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
3532,56,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1770,16,am_rush,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
1770,16,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5516,77,am_rush,low,A,committed,1.0,0.875,0.9333333333333333,0.0,2.0,8.0
5516,77,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5536,12,am_rush,low,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
5536,12,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3515,16,am_rush,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
3515,16,am_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5532,16,am_rush,low,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
5532,16,am_rush,low,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
4397,77,am_rush,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,1.0,8.0
4397,77,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5257,12,am_rush,medium,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
5257,12,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
2917,77,am_rush,medium,A,committed,1.0,0.25,0.4,0.0,2.0,8.0
2917,77,am_rush,medium,B,committed,0.5,0.25,0.3333333333333333,0.5,2.0,8.0
5246,12,am_rush,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
5246,12,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1194,56,am_rush,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,3.0,8.0
1194,56,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3212,84,am_rush,medium,A,committed,1.0,0.875,0.9333333333333333,0.0,2.0,8.0
3212,84,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6660,77,am_rush,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,3.0,8.0
6660,77,am_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6092,9,am_rush,high,A,committed,1.0,0.375,0.5454545454545454,0.0,3.0,8.0
6092,9,am_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
2649,29,am_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
2649,29,am_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
4367,29,am_rush,high,A,committed,1.0,0.25,0.4,0.0,2.0,8.0
4367,29,am_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
361,29,am_rush,high,A,committed,1.0,0.875,0.9333333333333333,0.0,3.0,8.0
361,29,am_rush,high,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
1225,9,am_rush,high,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
1225,9,am_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
2660,77,am_rush,high,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
2660,77,am_rush,high,B,committed,0.5,0.375,0.42857142857142855,0.5,2.0,8.0
6119,9,am_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
6119,9,am_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5866,12,midday,low,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
5866,12,midday,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5849,197,midday,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5849,197,midday,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3831,131,midday,low,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
3831,131,midday,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1813,62,midday,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
1813,62,midday,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5861,91,midday,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5861,91,midday,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1836,91,midday,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
1836,91,midday,low,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
5855,91,midday,low,A,committed,1.0,0.75,0.8571428571428571,0.0,3.0,8.0
5855,91,midday,low,B,committed,1.0,0.375,0.5454545454545454,0.0,1.0,8.0
3544,144,midday,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,3.0,8.0
3544,144,midday,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
4987,144,midday,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
4987,144,midday,medium,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
6133,56,midday,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,1.0,8.0
6133,56,midday,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6150,56,midday,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
6150,56,midday,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1242,12,midday,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
1242,12,midday,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
2391,124,midday,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
2391,124,midday,medium,B,committed,0.5,0.125,0.2,0.5,2.0,8.0
6134,144,midday,medium,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
6134,144,midday,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3296,121,midday,high,A,committed,1.0,0.25,0.4,0.0,2.0,8.0
3296,121,midday,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5574,155,midday,high,A,committed,1.0,0.875,0.9333333333333333,0.0,2.0,8.0
5574,155,midday,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
982,150,midday,high,A,committed,1.0,0.875,0.9333333333333333,0.0,3.0,8.0
982,150,midday,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5587,155,midday,high,A,committed,1.0,0.75,0.8571428571428571,0.0,1.0,8.0
5587,155,midday,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
2724,155,midday,high,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
2724,155,midday,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
