sample_index,target_node,tod_band,congestion,round,used_correction,faithfulness_f1,cause_precision,cause_recall,hallucination_rate,n_cited_causes,n_missed,advisory_error
4289,16,night,low,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
4289,16,night,low,1,True,0.8571428571428571,1.0,0.75,0.0,5,2,
5464,54,night,low,0,False,0.5454545454545454,1.0,0.375,0.0,3,5,
5464,54,night,low,1,True,1.0,1.0,1.0,0.0,8,0,
6643,51,night,low,0,False,0.6666666666666666,1.0,0.5,0.0,3,4,
6643,51,night,low,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
1740,166,night,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
1740,166,night,low,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
5460,54,night,low,0,False,0.8571428571428571,1.0,0.75,0.0,4,2,
6592,197,night,low,0,False,1.0,1.0,1.0,0.0,4,0,
3145,125,night,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
3145,125,night,low,1,True,1.0,1.0,1.0,0.0,6,0,
5479,16,night,medium,0,False,0.5454545454545454,1.0,0.375,0.0,3,5,
5479,16,night,medium,1,True,0.8571428571428571,1.0,0.75,0.0,4,2,
6058,196,night,medium,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
6058,196,night,medium,1,True,0.8571428571428571,1.0,0.75,0.0,5,2,
6335,105,night,medium,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
6615,197,night,medium,0,False,0.6666666666666666,1.0,0.5,0.0,1,4,
6615,197,night,medium,1,True,1.0,1.0,1.0,0.0,5,0,
6316,77,night,medium,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
1154,197,night,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
1154,197,night,medium,1,True,0.7692307692307693,1.0,0.625,0.0,3,3,
3163,51,night,medium,0,False,1.0,1.0,1.0,0.0,3,0,
3506,16,am_rush,low,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
3532,56,am_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
3532,56,am_rush,low,1,True,1.0,1.0,1.0,0.0,5,0,
1770,16,am_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
1770,16,am_rush,low,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
5516,77,am_rush,low,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
5536,12,am_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,1,4,
5536,12,am_rush,low,1,True,1.0,1.0,1.0,0.0,7,0,
3515,16,am_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,4,4,
3515,16,am_rush,low,1,True,1.0,1.0,1.0,0.0,4,0,
5532,16,am_rush,low,0,False,0.4,1.0,0.25,0.0,2,6,
5532,16,am_rush,low,1,True,0.8571428571428571,1.0,0.75,0.0,6,2,
