setting,lambda_size,target,n_windows,entropy_of_mean,mean_of_entropy,std_of_entropy,sources_for_80pct_of_mean,mean_sources_for_80pct_per_window,self_importance,split_half_jaccard
current,0.15,9,24,0.9987371318365952,0.9912932595705263,0.008276016298101659,158,146.875,0.5831084387997786,0.14285714285714285
current,0.15,15,24,0.9968921593976695,0.9833339154271101,0.011603699232244975,155,138.58333333333334,0.5440775711710254,0.3333333333333333
current,0.15,16,24,0.9912335519386245,0.9729623733594629,0.01494304606800503,145,124.625,0.6557968308528265,0.23076923076923078
current,0.15,18,24,0.9980826201253559,0.984814243198807,0.017833949750975273,157,146.33333333333334,0.5802143402397633,0.23076923076923078
current,0.15,25,24,0.9984494267653126,0.9899968119844559,0.013007552651248882,158,148.5,0.48867384158074856,0.23076923076923078
current,0.15,30,24,0.9977763817426939,0.9867365862366441,0.008872088719167255,158,144.08333333333334,0.5954452926913897,0.45454545454545453
current,0.15,45,24,0.9974298599767725,0.9857556917434795,0.010058551037830462,156,144.54166666666666,0.7255966377755007,0.3333333333333333
current,0.15,66,24,0.9980031800152767,0.9882521830175671,0.0065935453496612255,156,146.08333333333334,0.7022938417891661,0.14285714285714285
current,0.15,68,24,0.9971756983102035,0.9868232481485256,0.00918670081828816,155,143.58333333333334,0.57200871159633,0.06666666666666667
current,0.15,69,24,0.9984720496766774,0.9891389770184192,0.010101569047235366,158,147.75,0.655643276249369,0.23076923076923078
current,0.15,73,24,0.9971815915509881,0.9822031073468335,0.0169428374487,154,140.08333333333334,0.4603293966501951,0.23076923076923078
current,0.15,75,24,0.9974569554209879,0.9842314057479541,0.01572326601855,157,147.20833333333334,0.4979684893041849,0.3333333333333333
current,0.15,84,24,0.9964432131159799,0.9750310695226969,0.021317303172404496,153,134.875,0.3872467565039794,0.3333333333333333
current,0.15,95,24,0.9982433707876863,0.9876484885161693,0.01601014049650559,157,146.70833333333334,0.4904302538683017,0.06666666666666667
current,0.15,96,24,0.9976788517054211,0.9860879836433355,0.008978989926356038,156,145.0,0.6733279004693031,0.3333333333333333
current,0.15,98,24,0.9968439339417848,0.9842704587967059,0.018179982128616018,154,144.33333333333334,0.4090526212627689,0.23076923076923078
current,0.15,100,24,0.9980056842172311,0.9897734188174244,0.01015312341109664,156,146.33333333333334,0.46082166644434136,0.23076923076923078
current,0.15,101,24,0.9982449430507568,0.9878071653150742,0.011473343774938024,158,148.08333333333334,0.44729334115982056,0.14285714285714285
current,0.15,104,24,0.9984455964723888,0.9857022980999767,0.013775611762128305,158,146.45833333333334,0.5037970667084058,0.14285714285714285
current,0.15,113,24,0.9985807617933989,0.9909558703244015,0.00798179175405541,158,149.375,0.4847532582158844,0.45454545454545453
current,0.15,120,24,0.9984589998578145,0.9868818500085045,0.012788868268695045,158,146.91666666666666,0.49931097372124594,0.3333333333333333
current,0.15,124,24,0.9991739683745445,0.9922831482046401,0.009255124835654927,160,151.83333333333334,0.4624078534543514,0.06666666666666667
current,0.15,125,24,0.9975935089919185,0.9874870237351989,0.016490199025986522,155,146.95833333333334,0.516258287553986,0.06666666666666667
current,0.15,135,24,0.9981131289647975,0.9903694652785809,0.005009607939141177,157,147.25,0.5954437721520662,0.23076923076923078
current,0.15,138,24,0.9982294336540476,0.9849369677444338,0.013261639278420783,157,145.29166666666666,0.4954421619574229,0.14285714285714285
current,0.15,141,24,0.9978281884987181,0.9885179133545088,0.008571153613758379,155,144.45833333333334,0.5388067290186882,0.0
current,0.15,147,24,0.9986399032929406,0.9881337152592599,0.015643004751322624,158,148.375,0.4928216834863027,0.14285714285714285
current,0.15,148,24,0.9987346477369993,0.9897158777173836,0.007200318254481337,158,146.70833333333334,0.6063470070560774,0.06666666666666667
current,0.15,154,24,0.9988220322138809,0.9927154931259806,0.008845628224755386,158,150.45833333333334,0.4760028310120106,0.14285714285714285
current,0.15,155,24,0.9974630046435854,0.9839103042160021,0.010232040444595063,155,141.33333333333334,0.5542343861112992,0.45454545454545453
current,0.15,161,24,0.9985059053273089,0.9855710095833555,0.011297535239528811,158,143.75,0.5646139352271954,0.14285714285714285
current,0.15,164,24,0.9986970381505826,0.9921465904448489,0.00877272032637648,159,151.08333333333334,0.5299358107149601,0.3333333333333333
current,0.15,166,24,0.9989284824452743,0.9882178925724939,0.006759819015158136,159,145.125,0.6518323440104723,0.14285714285714285
current,0.15,167,24,0.9949373568366671,0.9830742493984997,0.011794820625590315,153,141.75,0.6052860456208388,0.3333333333333333
current,0.15,170,24,0.9975853907061958,0.9805143360410775,0.017647332102828248,156,142.0,0.5148931015282869,0.14285714285714285
current,0.15,171,24,0.9954472332626114,0.9842479979274442,0.009937780752633203,154,143.375,0.6948288530111313,0.7777777777777778
current,0.15,184,24,0.9984806274063798,0.9895301250680428,0.006056288865259267,159,148.66666666666666,0.5446238244573275,0.3333333333333333
current,0.15,189,24,0.9985095649861263,0.9864393307269529,0.014199742180492268,158,145.83333333333334,0.5298399307454625,0.14285714285714285
current,0.15,196,24,0.9919953991341647,0.9722555559935816,0.013216839355846614,146,124.20833333333333,0.6452053872247537,0.3333333333333333
current,0.15,205,24,0.9973318880594562,0.9865597351116451,0.010402352967993134,155,143.45833333333334,0.5978587505718073,0.06666666666666667
3x,0.45,9,24,0.9986194002066555,0.9922591519151339,0.011408765282696959,157,148.95833333333334,0.59618314790229,0.14285714285714285
3x,0.45,15,24,0.995027319560464,0.9809772132564936,0.015457365876171298,152,140.04166666666666,0.5565396137535572,0.45454545454545453
3x,0.45,16,24,0.9887063986289771,0.9710325189681974,0.01636417494035572,145,133.58333333333334,0.6724665264288584,0.6
3x,0.45,18,24,0.9988348550280948,0.9910959156991597,0.014341827682891236,159,153.66666666666666,0.5456104806313912,0.23076923076923078
3x,0.45,25,24,0.9984385505041022,0.99232477659661,0.012034041500060353,158,152.375,0.483526524156332,0.06666666666666667
3x,0.45,30,24,0.9985216294915517,0.9912884039202678,0.00941791458782503,160,151.08333333333334,0.58353794987003,0.3333333333333333
3x,0.45,45,24,0.9985613286766625,0.9921637094800907,0.007508863493023239,159,151.5,0.7284575129548708,0.14285714285714285
3x,0.45,66,24,0.9991805696843087,0.9946046350220863,0.004606728530699104,159,151.875,0.6992190995564064,0.06666666666666667
3x,0.45,68,24,0.997963483785146,0.9911577019169631,0.012131449833098322,158,150.125,0.5581898012508949,0.45454545454545453
3x,0.45,69,24,0.9990201890392906,0.9929475910276849,0.01038243694708176,160,153.54166666666666,0.6550333301226298,0.23076923076923078
3x,0.45,73,24,0.9970434385781278,0.985276696912725,0.01665998796211325,154,143.08333333333334,0.4356100441267093,0.06666666666666667
3x,0.45,75,24,0.9982524393501702,0.990146429763933,0.013978721537285388,158,152.79166666666666,0.4912629562119643,0.23076923076923078
3x,0.45,84,24,0.9974068960082715,0.9868886029091214,0.014392293277813073,156,146.58333333333334,0.3650409020483494,0.3333333333333333
3x,0.45,95,24,0.9979196353614532,0.9884540191329515,0.017712536685698305,157,150.16666666666666,0.46817331419636804,0.45454545454545453
3x,0.45,96,24,0.998970476055333,0.9932912281894472,0.007950102647746189,160,153.70833333333334,0.6723862936099371,0.06666666666666667
3x,0.45,98,24,0.9976306124327483,0.9896482924954855,0.014368907040119654,156,150.91666666666666,0.3790730321779847,0.23076923076923078
3x,0.45,100,24,0.99793769223366,0.9903670152736597,0.014164858314603379,156,148.70833333333334,0.45821688634653884,0.14285714285714285
3x,0.45,101,24,0.9989785328591924,0.9911634005262041,0.01367327517085487,160,151.5,0.44118566407511633,0.14285714285714285
3x,0.45,104,24,0.9988304288042966,0.9916797212909773,0.009106136456375057,159,152.83333333333334,0.5228580106049776,0.14285714285714285
3x,0.45,113,24,0.9988859582219042,0.9936742104929518,0.010034399192343234,160,153.66666666666666,0.4798001116141677,0.3333333333333333
3x,0.45,120,24,0.9986959589118324,0.9927252891651713,0.011554564192828708,158,152.45833333333334,0.5107038198038936,0.14285714285714285
3x,0.45,124,24,0.9994161003146058,0.9957931951521194,0.006542066130549435,161,155.58333333333334,0.4398198053240776,0.06666666666666667
3x,0.45,125,24,0.9979736735753274,0.989294298863717,0.017600117976639813,158,151.95833333333334,0.5071264722694954,0.06666666666666667
3x,0.45,135,24,0.9993330802779881,0.9965751186467878,0.0025040447637000194,160,154.04166666666666,0.5948270869751772,0.6
