sample_index,target_node,tod_band,congestion,method,advisor_condition,condition,explanation,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
4289,16,night,low,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,0.6,1,8
4289,16,night,low,D,A,D,shap,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
4289,16,night,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
5464,54,night,low,A,A,A,gnn,,1.0,0.625,0.7692307692307693,0.0,0.4,2,8
5464,54,night,low,D,A,D,shap,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
5464,54,night,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
5479,16,night,medium,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
5479,16,night,medium,D,A,D,shap,,1.0,0.875,0.9333333333333333,0.0,0.3333333333333333,2,8
5479,16,night,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
6058,196,night,medium,A,A,A,gnn,,1.0,0.375,0.5454545454545454,0.0,0.6,2,8
6058,196,night,medium,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,1.0,3,8
6058,196,night,medium,B,B,B,gnn,,1.0,0.125,0.2222222222222222,0.0,0.3333333333333333,1,8
3506,16,am_rush,low,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
3506,16,am_rush,low,D,A,D,shap,,1.0,0.875,0.9333333333333333,0.0,0.8571428571428571,3,8
3506,16,am_rush,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
3532,56,am_rush,low,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
3532,56,am_rush,low,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,1.0,2,8
3532,56,am_rush,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
4397,77,am_rush,medium,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,1.0,1,8
4397,77,am_rush,medium,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,0.4,1,8
4397,77,am_rush,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,1.0,1,8
5257,12,am_rush,medium,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
5257,12,am_rush,medium,D,A,D,shap,,0.5,0.25,0.3333333333333333,0.5,0.5,2,8
5257,12,am_rush,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
6092,9,am_rush,high,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,1.0,4,8
6092,9,am_rush,high,D,A,D,shap,,1.0,0.75,0.8571428571428571,0.0,0.8,3,8
6092,9,am_rush,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,1.0,1,8
2649,29,am_rush,high,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,1,8
2649,29,am_rush,high,D,A,D,shap,,1.0,0.625,0.7692307692307693,0.0,1.0,1,8
2649,29,am_rush,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
5866,12,midday,low,A,A,A,gnn,,0.5,0.125,0.2,0.5,0.75,2,8
5866,12,midday,low,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,1,8
5866,12,midday,low,B,B,B,gnn,,1.0,0.125,0.2222222222222222,0.0,0.0,1,8
5849,197,midday,low,A,A,A,gnn,,1.0,0.25,0.4,0.0,0.4,2,8
5849,197,midday,low,D,A,D,shap,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
5849,197,midday,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,1.0,1,8
3544,144,midday,medium,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
3544,144,midday,medium,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,0.75,3,8
3544,144,midday,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.5,1,8
4987,144,midday,medium,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,0.8333333333333334,3,8
4987,144,midday,medium,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,0.5,2,8
4987,144,midday,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.2,1,8
3296,121,midday,high,A,A,A,gnn,,1.0,0.375,0.5454545454545454,0.0,0.75,3,8
3296,121,midday,high,D,A,D,shap,,1.0,0.625,0.7692307692307693,0.0,0.4,2,8
3296,121,midday,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
5574,155,midday,high,A,A,A,gnn,,1.0,0.875,0.9333333333333333,0.0,0.5,2,8
5574,155,midday,high,D,A,D,shap,,1.0,0.875,0.9333333333333333,0.0,0.6666666666666666,2,8
5574,155,midday,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.4,2,8
1879,61,pm_rush,low,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
1879,61,pm_rush,low,D,A,D,shap,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
1879,61,pm_rush,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,1.0,1,8
1919,16,pm_rush,low,A,A,A,gnn,,1.0,0.625,0.7692307692307693,0.0,1.0,3,8
1919,16,pm_rush,low,D,A,D,shap,,1.0,0.625,0.7692307692307693,0.0,0.5,2,8
1919,16,pm_rush,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.0,1,8
3644,155,pm_rush,medium,A,A,A,gnn,,1.0,1.0,1.0,0.0,0.8,2,8
3644,155,pm_rush,medium,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,0.8,2,8
3644,155,pm_rush,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.2,2,8
1874,61,pm_rush,medium,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,0.8333333333333334,5,8
1874,61,pm_rush,medium,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,0.5,2,8
1874,61,pm_rush,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,1.0,1,8
1603,206,pm_rush,high,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,0.6666666666666666,2,8
1603,206,pm_rush,high,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,0.75,2,8
1603,206,pm_rush,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.6,2,8
3365,206,pm_rush,high,A,A,A,gnn,,1.0,0.625,0.7692307692307693,0.0,0.6,2,8
3365,206,pm_rush,high,D,A,D,shap,,1.0,0.25,0.4,0.0,0.5,2,8
3365,206,pm_rush,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.4,2,8
2821,16,evening,low,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
2821,16,evening,low,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,0.5,2,8
2821,16,evening,low,B,B,B,gnn,,1.0,0.125,0.2222222222222222,0.0,0.3333333333333333,1,8
6828,193,evening,low,A,A,A,gnn,,1.0,0.875,0.9333333333333333,0.0,0.8571428571428571,3,8
6828,193,evening,low,D,A,D,shap,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
6828,193,evening,low,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
5424,142,evening,medium,A,A,A,gnn,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
5424,142,evening,medium,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
5424,142,evening,medium,B,B,B,gnn,,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,1,8
5702,206,evening,medium,A,A,A,gnn,,1.0,0.625,0.7692307692307693,0.0,0.8,3,8
5702,206,evening,medium,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,1.0,2,8
5702,206,evening,medium,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.25,2,8
3370,206,evening,high,A,A,A,gnn,,1.0,0.75,0.8571428571428571,0.0,0.75,2,8
3370,206,evening,high,D,A,D,shap,,1.0,0.375,0.5454545454545454,0.0,0.42857142857142855,2,8
3370,206,evening,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.6,2,8
3369,206,evening,high,A,A,A,gnn,,1.0,0.625,0.7692307692307693,0.0,0.5,2,8
3369,206,evening,high,D,A,D,shap,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
3369,206,evening,high,B,B,B,gnn,,0.0,0.0,0.0,1.0,0.4,2,8
