epoch,train_loss,val_loss,val_mae,val_rmse,val_mape,alpha,val_mae_15min,val_rmse_15min,val_mape_15min,val_mae_30min,val_rmse_30min,val_mape_30min,val_mae_60min,val_rmse_60min,val_mape_60min,gate_traffic,gate_weather,gate_events,gate_transit
1,1.9782,2.0151,2.0127,4.6762,4.8912,0.5369,1.5106,3.2212,3.2199,2.0254,4.6078,4.7361,2.7082,6.1659,7.1108,0.5094,0.5,0.5,0.5
2,1.8121,1.9156,1.9131,4.4175,4.4359,0.4135,1.4666,3.0938,3.1865,1.9467,4.3888,4.4739,2.5603,5.8051,6.2336,0.5119,0.5,0.5,0.5
3,1.7421,1.8621,1.86,4.2044,4.5326,0.301,1.4604,3.0508,3.2435,1.9116,4.2482,4.6021,2.4082,5.3465,6.2672,0.5133,0.5,0.5,0.5
4,1.7139,1.8381,1.8359,4.1205,4.3691,0.2634,1.4454,3.0138,3.0793,1.8917,4.1539,4.4364,2.3574,5.2263,6.0422,0.5147,0.5,0.5,0.5
5,1.701,1.8401,1.8381,4.1599,4.3547,0.2425,1.4498,3.0428,3.0869,1.8941,4.2101,4.4358,2.367,5.2752,6.0336,0.5159,0.5,0.5,0.5
6,1.6877,1.8254,1.8234,4.1093,4.1791,0.2282,1.4536,3.0556,3.0883,1.8756,4.1667,4.281,2.3307,5.1807,5.5956,0.5175,0.5,0.5,0.5
7,1.6825,1.8202,1.8182,4.1643,4.3454,0.2162,1.4429,3.0519,3.1378,1.8806,4.229,4.4789,2.3208,5.2446,5.882,0.5188,0.5,0.5,0.5
8,1.6728,1.8132,1.811,4.0929,4.3623,0.2066,1.4406,3.0108,3.1827,1.8738,4.1673,4.489,2.3009,5.1325,5.8664,0.5202,0.5,0.5,0.5
9,1.6614,1.7819,1.78,3.9974,4.0767,0.1961,1.4278,2.9836,3.042,1.8419,4.0726,4.2089,2.2559,5.002,5.4446,0.5215,0.5,0.5,0.5
10,1.6501,1.7701,1.7682,3.9968,4.0862,0.187,1.4139,2.9774,3.0109,1.8316,4.0727,4.2188,2.2461,5.0017,5.4948,0.5228,0.5,0.5,0.5
11,1.644,1.766,1.7641,3.9402,4.0734,0.1809,1.4201,2.9373,3.0582,1.8262,4.0204,4.1982,2.2329,4.9153,5.4071,0.5241,0.5,0.5,0.5
12,1.6355,1.7744,1.7723,3.9748,4.2159,0.1751,1.4389,2.9748,3.2507,1.8337,4.0563,4.3901,2.2258,4.9327,5.4414,0.5255,0.5,0.5,0.5
13,1.6296,1.7697,1.7678,3.9934,4.0672,0.17,1.4412,3.0058,3.0831,1.8162,4.06,4.16,2.2234,4.98,5.3946,0.527,0.5,0.5,0.5
14,1.6251,1.7373,1.7354,3.9128,3.9699,0.1658,1.4019,2.9383,2.9781,1.8009,3.9901,4.104,2.185,4.8778,5.276,0.5282,0.5,0.5,0.5
15,1.6175,1.7512,1.7492,3.9401,4.1321,0.1619,1.4203,2.9607,3.0883,1.8102,4.0102,4.2561,2.1976,4.9071,5.5269,0.5299,0.5,0.5,0.5
16,1.6161,1.7598,1.7576,3.9411,4.2066,0.1587,1.4329,2.9771,3.2405,1.8242,4.0357,4.4169,2.1997,4.8819,5.4543,0.531,0.5,0.5,0.5
17,1.6109,1.737,1.7351,3.9218,4.0628,0.1558,1.4079,2.9339,3.0055,1.7965,3.9876,4.194,2.1858,4.916,5.4503,0.5326,0.5,0.5,0.5
18,1.6059,1.7473,1.7452,3.935,4.1583,0.1542,1.4111,2.9385,3.0766,1.8083,4.0137,4.3023,2.1999,4.9009,5.5504,0.534,0.5,0.5,0.5
19,1.6029,1.7422,1.74,3.9372,4.0733,0.1517,1.4115,2.9539,3.0475,1.8025,4.0167,4.2186,2.1852,4.898,5.39,0.5354,0.5,0.5,0.5
