epoch,train_loss,val_loss,val_mae,val_rmse,val_mape,alpha,val_mae_15min,val_rmse_15min,val_mape_15min,val_mae_30min,val_rmse_30min,val_mape_30min,val_mae_60min,val_rmse_60min,val_mape_60min,gate_traffic,gate_power
1,0.0041,0.0027,0.0021,0.0044,0.201,0.4957,0.0016,0.0031,0.1498,0.002,0.0042,0.1961,0.0029,0.006,0.2788,0.5054,0.5
2,0.0032,0.003,0.0025,0.0045,0.2366,0.4974,0.0022,0.0036,0.2158,0.0026,0.0044,0.2468,0.003,0.006,0.2896,0.5103,0.5
3,0.0032,0.0031,0.0026,0.0046,0.2517,0.4987,0.0022,0.0035,0.2079,0.0026,0.0044,0.2461,0.0033,0.006,0.3208,0.5142,0.5
4,0.0031,0.0025,0.0019,0.0043,0.1847,0.5006,0.0013,0.0029,0.1226,0.0018,0.004,0.1735,0.0029,0.006,0.2791,0.5179,0.5
5,0.0029,0.0028,0.0022,0.0045,0.2153,0.502,0.0018,0.0033,0.1735,0.002,0.0042,0.1962,0.003,0.006,0.2888,0.5211,0.5
6,0.0029,0.0023,0.0017,0.0042,0.1643,0.503,0.0011,0.0028,0.1032,0.0016,0.004,0.1576,0.0026,0.0058,0.2555,0.5238,0.5
7,0.0028,0.0025,0.0019,0.0043,0.186,0.5016,0.0013,0.0029,0.1227,0.0019,0.004,0.1786,0.0029,0.0059,0.2814,0.5259,0.5
8,0.0027,0.0023,0.0017,0.0042,0.1677,0.5009,0.0011,0.0028,0.107,0.0017,0.0039,0.1629,0.0027,0.0058,0.2592,0.528,0.5
9,0.0027,0.0024,0.0019,0.0042,0.1784,0.5011,0.0013,0.0029,0.1231,0.0018,0.004,0.172,0.0027,0.0059,0.2649,0.53,0.5
10,0.0027,0.0025,0.002,0.0042,0.1879,0.5011,0.0014,0.0029,0.1299,0.0019,0.004,0.1814,0.0029,0.0058,0.2765,0.5318,0.5
11,0.0027,0.0025,0.0019,0.0043,0.1835,0.5012,0.0013,0.0029,0.1223,0.0018,0.0041,0.1781,0.0028,0.0059,0.2739,0.5335,0.5
12,0.0027,0.0023,0.0018,0.0042,0.1712,0.5011,0.0011,0.0028,0.1057,0.0017,0.004,0.1646,0.0028,0.0058,0.2699,0.5351,0.5
13,0.0026,0.0025,0.002,0.0042,0.1884,0.501,0.0014,0.0029,0.1295,0.0019,0.004,0.1816,0.0029,0.0058,0.2783,0.5367,0.5
14,0.0026,0.0023,0.0018,0.0042,0.1712,0.5007,0.0011,0.0028,0.1071,0.0017,0.004,0.1656,0.0028,0.0059,0.2658,0.5383,0.5
15,0.0026,0.0026,0.0021,0.0043,0.2011,0.5009,0.0015,0.003,0.1496,0.002,0.0041,0.1929,0.0029,0.0059,0.2834,0.5399,0.5
16,0.0026,0.0025,0.0019,0.0042,0.1863,0.4989,0.0013,0.0028,0.1238,0.0019,0.004,0.1789,0.0029,0.0058,0.2807,0.5414,0.5
17,0.0026,0.0023,0.0017,0.0042,0.1647,0.4996,0.001,0.0028,0.0999,0.0017,0.004,0.1601,0.0027,0.0059,0.2617,0.5429,0.5
18,0.0026,0.0023,0.0017,0.0042,0.1633,0.5003,0.001,0.0028,0.0991,0.0016,0.004,0.1564,0.0027,0.0059,0.2594,0.5445,0.5
19,0.0026,0.0023,0.0017,0.0042,0.1659,0.5002,0.001,0.0028,0.0998,0.0017,0.004,0.16,0.0027,0.0058,0.2624,0.546,0.5
20,0.0025,0.0023,0.0017,0.0042,0.1647,0.4994,0.001,0.0028,0.1006,0.0017,0.004,0.1599,0.0027,0.0059,0.2605,0.5477,0.5
21,0.0025,0.0022,0.0016,0.0042,0.1576,0.4986,0.001,0.0028,0.0944,0.0016,0.0039,0.1509,0.0026,0.0058,0.2516,0.5493,0.5
