sample_index,target_node,tod_band,congestion,explanation_stability,n_core,n_peripheral,n_noise,A_f1,A_precision,A_recall,A_hallucination,U_f1,U_precision,U_recall,U_hallucination,U_f1_vs_shown,U_hallucination_vs_shown,A_core_hedge_rate,A_peripheral_hedge_rate,A_hedge_gap,U_core_hedge_rate,U_peripheral_hedge_rate,U_hedge_gap
4289,16,night,low,0.4831,4,9,7,0.6666666666666666,1.0,0.5,0.0,0.8571428571428571,1.0,0.75,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
5479,16,night,medium,0.6001,5,7,5,0.8571428571428571,1.0,0.75,0.0,0.9333333333333333,1.0,0.875,0.0,0.7368421052631579,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3506,16,am_rush,low,0.1553,0,19,19,0.6666666666666666,1.0,0.5,0.0,0.6451612903225806,0.6666666666666666,0.625,0.33333333333333337,0.5882352941176471,0.33333333333333337,,0.0,,,1.0,
4397,77,am_rush,medium,0.3881,3,12,7,0.8571428571428571,1.0,0.75,0.0,0.7692307692307693,1.0,0.625,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,-0.033333333333333354
6092,9,am_rush,high,0.4492,4,10,5,0.5454545454545454,1.0,0.375,0.0,0.8571428571428571,1.0,0.75,0.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.2,0.2
5866,12,midday,low,0.2252,1,18,12,0.5454545454545454,1.0,0.375,0.0,0.2,0.5,0.125,0.5,0.17391304347826086,0.5,0.0,0.0,0.0,1.0,0.5,-0.5
3544,144,midday,medium,0.4106,3,10,11,0.5454545454545454,1.0,0.375,0.0,0.6666666666666666,1.0,0.5,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3296,121,midday,high,0.5136,6,6,4,0.5454545454545454,1.0,0.375,0.0,0.7692307692307693,1.0,0.625,0.0,0.8,0.0,0.0,0.0,0.0,0.75,0.8,0.050000000000000044
1879,61,pm_rush,low,0.3912,4,11,5,0.5454545454545454,1.0,0.375,0.0,0.8571428571428571,1.0,0.75,0.0,0.8,0.0,0.0,0.0,0.0,0.25,0.25,0.0
3644,155,pm_rush,medium,0.3469,3,15,5,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.75,0.0,0.7586206896551725,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1603,206,pm_rush,high,0.4537,4,11,6,0.6666666666666666,1.0,0.5,0.0,0.25,0.25,0.25,0.75,0.6956521739130436,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2821,16,evening,low,0.3482,3,13,5,0.8571428571428571,1.0,0.75,0.0,0.8571428571428571,1.0,0.75,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.5,0.5,0.0
5424,142,evening,medium,0.5601,6,6,5,0.7692307692307693,1.0,0.625,0.0,0.8571428571428571,1.0,0.75,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
3370,206,evening,high,0.7496,7,2,5,0.8571428571428571,1.0,0.75,0.0,0.9333333333333333,1.0,0.875,0.0,0.8,0.0,0.0,,,0.5,1.0,0.5
5464,54,night,low,0.3823,2,11,9,0.7692307692307693,1.0,0.625,0.0,0.8571428571428571,1.0,0.75,0.0,0.761904761904762,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
6058,196,night,medium,0.6443,6,4,3,0.5454545454545454,1.0,0.375,0.0,0.7692307692307693,1.0,0.625,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.33333333333333337
3532,56,am_rush,low,0.1888,2,20,9,0.5454545454545454,1.0,0.375,0.0,0.6666666666666666,1.0,0.5,0.0,0.37037037037037035,0.0,,0.0,,0.0,0.3333333333333333,0.3333333333333333
5257,12,am_rush,medium,0.3351,3,13,7,0.8571428571428571,1.0,0.75,0.0,0.8571428571428571,1.0,0.75,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2649,29,am_rush,high,0.6739,5,5,4,0.7692307692307693,1.0,0.625,0.0,0.8571428571428571,1.0,0.75,0.0,0.9473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5849,197,midday,low,0.2416,1,18,8,0.6666666666666666,1.0,0.5,0.0,0.42857142857142855,0.5,0.375,0.5,0.4242424242424242,0.5,,0.0,,0.0,0.0,0.0
